Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
0,0.000000,-0.022603,-0.000081,-0.009945,0.999695,1.019864,0.116202,0.034371,-0.034781,0.008140,-0.088597,0.995427,1.045891,-0.206276,0.032055,0.020480,0.007391,0.028258,-0.999364,1.040507,-0.034114,0.956931
1,0.004167,-0.022500,-0.000064,-0.009955,0.999697,1.019861,0.116201,0.034364,-0.034720,0.008112,-0.088602,0.995429,1.045893,-0.206276,0.032051,0.020497,0.007371,0.028262,-0.999363,1.040546,-0.034102,0.956921
2,0.008333,-0.022466,-0.000022,-0.009971,0.999698,1.019856,0.116200,0.034362,-0.034720,0.008125,-0.088610,0.995428,1.045889,-0.206278,0.032052,0.020457,0.007362,0.028226,-0.999365,1.040585,-0.034090,0.956927
3,0.012500,-0.022476,-0.000009,-0.009992,0.999697,1.019859,0.116203,0.034362,-0.034702,0.008116,-0.088628,0.995427,1.045895,-0.206277,0.032056,0.020497,0.007305,0.028203,-0.999365,1.040622,-0.034070,0.956911
4,0.016667,-0.022486,-0.000021,-0.009998,0.999697,1.019861,0.116197,0.034361,-0.034715,0.008117,-0.088587,0.995430,1.045893,-0.206277,0.032058,0.020505,0.007266,0.028183,-0.999366,1.040667,-0.034056,0.956895
5,0.020833,-0.022484,-0.000001,-0.009965,0.999698,1.019863,0.116202,0.034361,-0.034728,0.008095,-0.088585,0.995430,1.045894,-0.206279,0.032058,0.020496,0.007224,0.028202,-0.999366,1.040691,-0.034050,0.956889
6,0.025000,-0.022551,0.000012,-0.009989,0.999696,1.019861,0.116203,0.034357,-0.034756,0.008119,-0.088596,0.995428,1.045896,-0.206283,0.032051,0.020441,0.007296,0.028257,-0.999365,1.040749,-0.034052,0.956900
7,0.029167,-0.022437,0.000020,-0.010006,0.999698,1.019862,0.116203,0.034359,-0.034759,0.008132,-0.088596,0.995428,1.045897,-0.206283,0.032050,0.020424,0.007320,0.028284,-0.999364,1.040790,-0.034052,0.956893
8,0.033333,-0.022407,0.000019,-0.009987,0.999699,1.019867,0.116199,0.034357,-0.034727,0.008133,-0.088602,0.995428,1.045899,-0.206279,0.032054,0.020476,0.007298,0.028292,-0.999363,1.040818,-0.034047,0.956892
9,0.037500,-0.022447,-0.000004,-0.009976,0.999698,1.019874,0.116193,0.034360,-0.034715,0.008127,-0.088605,0.995429,1.045899,-0.206280,0.032053,0.020502,0.007273,0.028309,-0.999363,1.040852,-0.034028,0.956886
10,0.041667,-0.022470,-0.000018,-0.009951,0.999698,1.019876,0.116188,0.034354,-0.034735,0.008105,-0.088604,0.995428,1.045900,-0.206279,0.032053,0.020459,0.007248,0.028301,-0.999364,1.040888,-0.034022,0.956881
11,0.045833,-0.022449,0.000023,-0.009955,0.999698,1.019874,0.116191,0.034357,-0.034702,0.008097,-0.088626,0.995427,1.045896,-0.206278,0.032051,0.020463,0.007273,0.028336,-0.999363,1.040922,-0.034004,0.956882
12,0.050000,-0.022437,0.000030,-0.009948,0.999699,1.019873,0.116198,0.034360,-0.034708,0.008094,-0.088625,0.995427,1.045896,-0.206278,0.032049,0.020487,0.007360,0.028226,-0.999365,1.040992,-0.033970,0.956890
13,0.054167,-0.022398,0.000044,-0.009989,0.999699,1.019866,0.116201,0.034355,-0.034753,0.008108,-0.088616,0.995426,1.045898,-0.206280,0.032049,0.020461,0.007422,0.028214,-0.999365,1.041027,-0.033939,0.956892
14,0.058333,-0.022349,0.000052,-0.010016,0.999700,1.019865,0.116204,0.034352,-0.034770,0.008104,-0.088614,0.995426,1.045897,-0.206282,0.032048,0.020432,0.007417,0.028224,-0.999365,1.041053,-0.033920,0.956897
15,0.062500,-0.022319,0.000105,-0.010041,0.999701,1.019858,0.116211,0.034351,-0.034728,0.008119,-0.088610,0.995428,1.045896,-0.206278,0.032050,0.020443,0.007380,0.028252,-0.999365,1.041073,-0.033905,0.956894
16,0.066667,-0.022338,0.000128,-0.010045,0.999700,1.019861,0.116212,0.034350,-0.034727,0.008122,-0.088643,0.995425,1.045894,-0.206276,0.032048,0.020470,0.007374,0.028267,-0.999364,1.041105,-0.033886,0.956888
17,0.070833,-0.022397,0.000081,-0.010018,0.999699,1.019861,0.116209,0.034353,-0.034729,0.008116,-0.088627,0.995426,1.045895,-0.206276,0.032042,0.020458,0.007345,0.028293,-0.999363,1.041129,-0.033870,0.956894
18,0.075000,-0.022410,0.000032,-0.009973,0.999699,1.019866,0.116204,0.034355,-0.034699,0.008096,-0.088658,0.995425,1.045887,-0.206274,0.032046,0.020458,0.007318,0.028332,-0.999362,1.041149,-0.033851,0.956888
