Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
0,0.000000,0.035040,0.000050,-0.040138,-0.998580,-1.315640,0.161950,0.028672,0.022128,-0.011862,0.120062,-0.992449,-1.328430,-0.148505,0.028121,-0.026623,0.015848,-0.017860,0.999360,-1.323135,0.047179,0.944260
1,0.004167,0.034994,0.000027,-0.040195,-0.998579,-1.315627,0.161940,0.028675,0.022194,-0.011921,0.120219,-0.992428,-1.328428,-0.148485,0.028117,-0.026501,0.015810,-0.017937,0.999363,-1.322608,0.046932,0.944294
2,0.008333,0.035054,0.000001,-0.040389,-0.998569,-1.315632,0.161920,0.028650,0.022371,-0.011965,0.120390,-0.992402,-1.328427,-0.148457,0.028108,-0.026254,0.015913,-0.017920,0.999368,-1.322118,0.046669,0.944370
3,0.012500,0.034677,-0.000119,-0.040388,-0.998582,-1.315621,0.161924,0.028652,0.022598,-0.012101,0.120503,-0.992382,-1.328420,-0.148436,0.028106,-0.026233,0.016299,-0.018150,0.999358,-1.321613,0.046425,0.944337
4,0.016667,0.034387,-0.000300,-0.040513,-0.998587,-1.315588,0.161901,0.028649,0.022728,-0.012270,0.121001,-0.992316,-1.328416,-0.148366,0.028104,-0.026076,0.016214,-0.018260,0.999362,-1.321151,0.046212,0.944401
5,0.020833,0.034213,-0.000372,-0.040606,-0.998589,-1.315584,0.161889,0.028639,0.022896,-0.012462,0.121364,-0.992266,-1.328407,-0.148321,0.028118,-0.025883,0.016436,-0.018509,0.999358,-1.320642,0.045982,0.944427
6,0.025000,0.033837,-0.000542,-0.040648,-0.998600,-1.315570,0.161884,0.028637,0.023093,-0.012674,0.121605,-0.992229,-1.328388,-0.148304,0.028115,-0.025618,0.016187,-0.018560,0.999368,-1.320194,0.045763,0.944497
7,0.029167,0.033700,-0.000621,-0.040757,-0.998600,-1.315562,0.161864,0.028631,0.023283,-0.012858,0.121878,-0.992189,-1.328366,-0.148301,0.028112,-0.025436,0.016061,-0.018729,0.999372,-1.319728,0.045533,0.944561
8,0.033333,0.033305,-0.000815,-0.040885,-0.998608,-1.315547,0.161855,0.028620,0.022989,-0.012868,0.122206,-0.992155,-1.328338,-0.148308,0.028106,-0.025293,0.016257,-0.019011,0.999367,-1.319237,0.045314,0.944543
9,0.037500,0.033151,-0.000860,-0.040945,-0.998611,-1.315527,0.161848,0.028626,0.023109,-0.012837,0.122480,-0.992119,-1.328323,-0.148315,0.028106,-0.025153,0.016246,-0.019217,0.999367,-1.318797,0.045104,0.944517
10,0.041667,0.032853,-0.001014,-0.041069,-0.998616,-1.315511,0.161833,0.028633,0.023228,-0.012900,0.122720,-0.992086,-1.328314,-0.148307,0.028100,-0.025201,0.016235,-0.019507,0.999360,-1.318346,0.044903,0.944474
11,0.045833,0.032847,-0.001052,-0.041113,-0.998614,-1.315499,0.161820,0.028629,0.023184,-0.012919,0.122963,-0.992056,-1.328306,-0.148304,0.028098,-0.025250,0.016264,-0.019817,0.999352,-1.317833,0.044660,0.944436
12,0.050000,0.032763,0.000070,-0.042288,-0.998568,-1.315567,0.161727,0.028546,0.023170,-0.012995,0.123130,-0.992035,-1.328300,-0.148313,0.028098,-0.025122,0.016076,-0.020018,0.999355,-1.317367,0.044419,0.944423
13,0.054167,0.032568,-0.000073,-0.042432,-0.998568,-1.315570,0.161717,0.028541,0.023147,-0.013075,0.123223,-0.992023,-1.328293,-0.148310,0.028076,-0.025039,0.016091,-0.020232,0.999352,-1.316905,0.044191,0.944391
14,0.058333,0.032197,-0.000266,-0.042356,-0.998584,-1.315562,0.161715,0.028559,0.023211,-0.013137,0.123201,-0.992023,-1.328280,-0.148309,0.028080,-0.025060,0.016336,-0.020582,0.999341,-1.316424,0.043953,0.944311
15,0.062500,0.032269,-0.000323,-0.042479,-0.998576,-1.315559,0.161702,0.028557,0.023219,-0.013149,0.123236,-0.992019,-1.328269,-0.148308,0.028070,-0.025083,0.016410,-0.020839,0.999333,-1.316011,0.043717,0.944263
16,0.066667,0.031868,-0.000598,-0.042591,-0.998584,-1.315533,0.161673,0.028557,0.023211,-0.013114,0.123307,-0.992010,-1.328270,-0.148314,0.028062,-0.025173,0.016266,-0.020964,0.999331,-1.315631,0.043483,0.944171
17,0.070833,0.031523,-0.000687,-0.042701,-0.998590,-1.315521,0.161671,0.028560,0.023204,-0.013181,0.123298,-0.992011,-1.328280,-0.148316,0.028055,-0.025265,0.016281,-0.021317,0.999321,-1.315119,0.043246,0.944090
18,0.075000,0.031479,-0.000730,-0.042922,-0.998582,-1.315507,0.161647,0.028556,0.023219,-0.013265,0.123344,-0.992004,-1.328275,-0.148329,0.028049,-0.025180,0.016105,-0.021601,0.999320,-1.314651,0.043007,0.944061
19,0.079167,0.031016,-0.000856,-0.043000,-0.998593,-1.315467,0.161636,0.028562,0.023264,-0.013292,0.123372,-0.991999,-1.328268,-0.148327,0.028043,-0.025337,0.015963,-0.021786,0.999314,-1.314243,0.042751,0.944021
20,0.083333,0.030585,-0.001118,-0.043034,-0.998605,-1.315456,0.161626,0.028560,0.023279,-0.013279,0.123401,-0.991995,-1.328252,-0.148328,0.028037,-0.025441,0.016006,-0.022174,0.999302,-1.313767,0.042536,0.943927
21,0.087500,0.030636,-0.001163,-0.043186,-0.998597,-1.315452,0.161611,0.028561,0.023262,-0.013263,0.123441,-0.991991,-1.328239,-0.148334,0.028033,-0.025538,0.015987,-0.022486,0.999293,-1.313346,0.042304,0.943836
22,0.091667,0.030123,-0.001389,-0.043256,-0.998609,-1.315427,0.161599,0.028568,0.023227,-0.013395,0.123441,-0.991990,-1.328236,-0.148338,0.028026,-0.025739,0.015831,-0.022698,0.999286,-1.312950,0.042116,0.943763
23,0.095833,0.029739,-0.001603,-0.043252,-0.998620,-1.315408,0.161596,0.028574,0.023232,-0.013401,0.123486,-0.991984,-1.328242,-0.148343,0.028014,-0.025736,0.015919,-0.023106,0.999275,-1.312492,0.041864,0.943699
24,0.100000,0.029866,-0.001619,-0.043474,-0.998607,-1.315400,0.161564,0.028574,0.023292,-0.013463,0.123552,-0.991973,-1.328237,-0.148340,0.028015,-0.025765,0.015781,-0.023317,0.999271,-1.312089,0.041611,0.943685
25,0.104167,0.029618,-0.001697,-0.043508,-0.998613,-1.315389,0.161558,0.028576,0.023289,-0.013470,0.123618,-0.991965,-1.328221,-0.148338,0.028013,-0.025872,0.015541,-0.023552,0.999267,-1.311701,0.041395,0.943648
26,0.108333,0.029469,-0.001826,-0.043550,-0.998615,-1.315370,0.161547,0.028578,0.023164,-0.013420,0.123637,-0.991966,-1.328204,-0.148333,0.028011,-0.025995,0.015344,-0.023592,0.999266,-1.311355,0.041140,0.943618
