Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
0,0.000000,-0.034841,0.049941,-0.879296,0.472367,1.704375,0.969565,0.036221,0.013175,0.000706,0.931192,-0.364291,1.476601,1.144726,0.046805,-0.012957,-0.040169,0.877150,-0.478358,1.665161,1.061590,0.959554
1,0.004167,-0.034683,0.049801,-0.879272,0.472438,1.704367,0.969574,0.036220,0.011515,-0.008114,0.930943,-0.364891,1.476606,1.143992,0.046071,-0.012468,-0.040302,0.877272,-0.478137,1.664629,1.061316,0.959944
2,0.008333,-0.034621,0.049676,-0.879287,0.472428,1.704349,0.969571,0.036203,0.009238,-0.015588,0.930925,-0.364759,1.476986,1.143443,0.045228,-0.014716,-0.040213,0.877350,-0.477936,1.664484,1.061263,0.959984
3,0.012500,-0.034488,0.049478,-0.879320,0.472398,1.704339,0.969580,0.036212,0.007281,-0.022063,0.930777,-0.364848,1.477530,1.143115,0.044438,-0.017105,-0.039467,0.877348,-0.477922,1.664108,1.061144,0.960284
4,0.016667,-0.034763,0.049696,-0.879424,0.472160,1.704396,0.969490,0.036085,0.006618,-0.026742,0.930783,-0.364533,1.478054,1.143031,0.043896,-0.019729,-0.038374,0.877291,-0.478016,1.663672,1.060975,0.960616
5,0.020833,-0.035044,0.049752,-0.879545,0.471907,1.704471,0.969419,0.035985,0.007179,-0.027698,0.931094,-0.363654,1.478427,1.143179,0.043754,-0.022666,-0.039732,0.876527,-0.479175,1.663674,1.060881,0.960421
6,0.025000,-0.035067,0.049646,-0.879584,0.471844,1.704479,0.969428,0.035977,0.008591,-0.025715,0.931745,-0.362101,1.478619,1.143573,0.043831,-0.024900,-0.037804,0.876214,-0.479792,1.663114,1.060683,0.961011
7,0.029167,-0.034882,0.049557,-0.879572,0.471890,1.704465,0.969441,0.035987,0.009781,-0.022832,0.932260,-0.360935,1.478754,1.144041,0.043890,-0.025663,-0.038911,0.876321,-0.479467,1.662974,1.060467,0.960665
8,0.033333,-0.034844,0.049442,-0.879550,0.471947,1.704450,0.969445,0.035988,0.010171,-0.020546,0.932651,-0.360051,1.478914,1.144509,0.043758,-0.026410,-0.038029,0.876127,-0.479852,1.662734,1.060277,0.960864
9,0.037500,-0.034722,0.049331,-0.879570,0.471929,1.704445,0.969446,0.035987,0.009927,-0.019203,0.933082,-0.359013,1.479093,1.144906,0.043474,-0.026364,-0.038340,0.876065,-0.479943,1.662485,1.059989,0.960741
10,0.041667,-0.034603,0.049138,-0.879596,0.471911,1.704430,0.969453,0.035994,0.008970,-0.017776,0.933371,-0.358360,1.479070,1.145299,0.043150,-0.026481,-0.038099,0.875982,-0.480107,1.662274,1.059725,0.960685
11,0.045833,-0.034452,0.048997,-0.879576,0.471972,1.704416,0.969467,0.035996,0.007494,-0.015673,0.933880,-0.357164,1.478738,1.145588,0.042938,-0.026483,-0.037474,0.875898,-0.480310,1.662127,1.059476,0.960669
12,0.050000,-0.034521,0.048966,-0.879593,0.471939,1.704401,0.969474,0.035997,0.006290,-0.012934,0.934124,-0.356658,1.478363,1.145670,0.042853,-0.025012,-0.037836,0.875795,-0.480548,1.661717,1.059011,0.960715
13,0.054167,-0.034375,0.048831,-0.879604,0.471944,1.704378,0.969473,0.036008,0.005558,-0.011345,0.934071,-0.356864,1.478018,1.145665,0.042844,-0.023307,-0.034942,0.876645,-0.479301,1.661711,1.059167,0.961008
