Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
0,0.000000,0.027890,0.001572,-0.093691,-0.995209,-1.113903,0.274627,0.028290,0.006251,-0.005318,0.151640,-0.988402,-1.097485,0.009615,0.028137,0.004333,-0.035164,-0.065267,-0.997239,-1.091753,0.111281,0.947852
1,0.004167,0.027852,0.001545,-0.093676,-0.995212,-1.113908,0.274626,0.028299,0.006208,-0.005331,0.151599,-0.988408,-1.097489,0.009603,0.028135,0.004291,-0.035249,-0.065202,-0.997240,-1.091690,0.111188,0.947858
2,0.008333,0.027812,0.001514,-0.093660,-0.995215,-1.113904,0.274621,0.028292,0.006229,-0.005367,0.151671,-0.988397,-1.097479,0.009605,0.028132,0.004271,-0.035277,-0.065144,-0.997243,-1.091629,0.111111,0.947861
3,0.012500,0.027679,0.001494,-0.093702,-0.995214,-1.113896,0.274621,0.028295,0.006158,-0.005319,0.151735,-0.988388,-1.097469,0.009605,0.028132,0.004239,-0.035335,-0.065131,-0.997242,-1.091573,0.111009,0.947851
4,0.016667,0.027682,0.001510,-0.093725,-0.995212,-1.113894,0.274624,0.028303,0.006226,-0.005327,0.151645,-0.988401,-1.097470,0.009600,0.028132,0.004161,-0.035416,-0.065090,-0.997242,-1.091519,0.110925,0.947849
5,0.020833,0.027713,0.001449,-0.093730,-0.995211,-1.113896,0.274621,0.028305,0.006210,-0.005323,0.151654,-0.988400,-1.097458,0.009595,0.028135,0.004118,-0.035455,-0.065119,-0.997239,-1.091446,0.110831,0.947842
6,0.025000,0.027619,0.001398,-0.093710,-0.995215,-1.113891,0.274618,0.028311,0.006213,-0.005329,0.151678,-0.988396,-1.097463,0.009598,0.028132,0.004148,-0.035452,-0.064975,-0.997248,-1.091420,0.110764,0.947852
7,0.029167,0.027527,0.001354,-0.093798,-0.995210,-1.113887,0.274612,0.028305,0.006258,-0.005400,0.151726,-0.988388,-1.097459,0.009599,0.028129,0.004120,-0.035377,-0.064994,-0.997250,-1.091387,0.110646,0.947870
8,0.033333,0.027501,0.001361,-0.093828,-0.995208,-1.113889,0.274602,0.028310,0.006413,-0.005472,0.151596,-0.988407,-1.097478,0.009595,0.028122,0.004104,-0.035376,-0.065012,-0.997249,-1.091330,0.110561,0.947859
9,0.037500,0.027553,0.001336,-0.093856,-0.995204,-1.113889,0.274592,0.028304,0.006343,-0.005447,0.151669,-0.988396,-1.097470,0.009602,0.028120,0.004070,-0.035447,-0.065048,-0.997244,-1.091285,0.110466,0.947856
10,0.041667,0.027502,0.001293,-0.093864,-0.995204,-1.113884,0.274594,0.028307,0.006402,-0.005506,0.151605,-0.988405,-1.097469,0.009598,0.028115,0.004040,-0.035546,-0.065081,-0.997239,-1.091222,0.110372,0.947820
11,0.045833,0.027482,0.001297,-0.093879,-0.995203,-1.113878,0.274587,0.028306,0.006389,-0.005529,0.151667,-0.988396,-1.097466,0.009610,0.028122,0.004032,-0.035622,-0.065144,-0.997232,-1.091158,0.110275,0.947819
12,0.050000,0.027432,0.001336,-0.093863,-0.995206,-1.113867,0.274592,0.028309,0.006454,-0.005499,0.151637,-0.988400,-1.097468,0.009603,0.028117,0.004146,-0.035753,-0.065118,-0.997228,-1.091085,0.110197,0.947797
13,0.054167,0.027396,0.001285,-0.093860,-0.995208,-1.113870,0.274594,0.028316,0.006446,-0.005498,0.151691,-0.988392,-1.097461,0.009608,0.028115,0.004131,-0.035771,-0.065126,-0.997227,-1.091032,0.110120,0.947788
14,0.058333,0.027353,0.001266,-0.093896,-0.995205,-1.113872,0.274594,0.028316,0.006441,-0.005535,0.151711,-0.988388,-1.097458,0.009612,0.028114,0.004112,-0.035876,-0.065103,-0.997225,-1.090971,0.110054,0.947789
15,0.062500,0.027218,0.001205,-0.093863,-0.995212,-1.113866,0.274591,0.028312,0.006475,-0.005558,0.151716,-0.988387,-1.097463,0.009612,0.028117,0.004043,-0.035767,-0.065160,-0.997226,-1.090911,0.109979,0.947788
16,0.066667,0.027200,0.001165,-0.093927,-0.995207,-1.113862,0.274585,0.028309,0.006503,-0.005570,0.151760,-0.988380,-1.097456,0.009617,0.028117,0.004030,-0.035859,-0.065105,-0.997226,-1.090824,0.109925,0.947768
17,0.070833,0.027119,0.001124,-0.093917,-0.995210,-1.113858,0.274581,0.028312,0.006617,-0.005618,0.151684,-0.988391,-1.097455,0.009615,0.028108,0.003964,-0.035814,-0.065120,-0.997227,-1.090777,0.109857,0.947762
18,0.075000,0.027080,0.001142,-0.093937,-0.995209,-1.113853,0.274579,0.028305,0.006555,-0.005616,0.151730,-0.988384,-1.097457,0.009625,0.028108,0.003952,-0.036094,-0.065094,-0.997218,-1.090683,0.109774,0.947742
19,0.079167,0.027082,0.001094,-0.093923,-0.995210,-1.113853,0.274578,0.028311,0.006663,-0.005642,0.151642,-0.988397,-1.097463,0.009620,0.028104,0.003939,-0.036171,-0.065077,-0.997217,-1.090621,0.109714,0.947740
20,0.083333,0.026940,0.001016,-0.093915,-0.995215,-1.113857,0.274572,0.028311,0.006673,-0.005710,0.151644,-0.988396,-1.097457,0.009618,0.028101,0.003890,-0.036202,-0.065044,-0.997218,-1.090545,0.109637,0.947733
21,0.087500,0.026955,0.001010,-0.093934,-0.995213,-1.113854,0.274569,0.028314,0.006683,-0.005714,0.151666,-0.988393,-1.097459,0.009619,0.028103,0.003862,-0.036247,-0.065058,-0.997216,-1.090476,0.109583,0.947737
22,0.091667,0.026880,0.000967,-0.094015,-0.995207,-1.113849,0.274569,0.028305,0.006727,-0.005757,0.151659,-0.988393,-1.097458,0.009623,0.028104,0.003822,-0.036355,-0.065035,-0.997213,-1.090408,0.109505,0.947729
23,0.095833,0.026875,0.000937,-0.094015,-0.995208,-1.113852,0.274577,0.028312,0.006779,-0.005795,0.151693,-0.988388,-1.097458,0.009620,0.028101,0.003752,-0.036162,-0.065102,-0.997216,-1.090403,0.109397,0.947788
24,0.100000,0.026858,0.000931,-0.093966,-0.995213,-1.113857,0.274570,0.028311,0.006797,-0.005835,0.151641,-0.988395,-1.097457,0.009623,0.028093,0.003712,-0.036100,-0.065224,-0.997211,-1.090317,0.109292,0.947796
25,0.104167,0.026862,0.000890,-0.093990,-0.995210,-1.113842,0.274557,0.028306,0.006861,-0.005893,0.151659,-0.988392,-1.097461,0.009627,0.028090,0.003833,-0.036287,-0.065327,-0.997197,-1.090296,0.109191,0.947812
