Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
0,0.000000,-0.016941,0.007199,-0.082284,-0.996439,-1.467120,-1.393755,-0.009953,0.034926,-0.008751,-0.016737,-0.999211,-1.380863,-1.664517,-0.008344,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
1,0.004167,-0.016735,0.007075,-0.082308,-0.996441,-1.467143,-1.393747,-0.009933,0.034838,-0.008723,-0.016791,-0.999214,-1.380874,-1.664531,-0.008336,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
2,0.008333,-0.016428,0.007174,-0.082255,-0.996450,-1.467104,-1.393651,-0.009936,0.034629,-0.008752,-0.016731,-0.999222,-1.380875,-1.664544,-0.008330,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
3,0.012500,-0.016293,0.007360,-0.082285,-0.996449,-1.467151,-1.393694,-0.009933,0.034710,-0.008757,-0.016836,-0.999217,-1.380883,-1.664552,-0.008332,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
4,0.016667,-0.016273,0.007330,-0.082149,-0.996460,-1.467187,-1.393686,-0.009932,0.034737,-0.008898,-0.016834,-0.999215,-1.380883,-1.664546,-0.008327,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
5,0.020833,-0.016302,0.007370,-0.081997,-0.996472,-1.467173,-1.393615,-0.009921,0.034499,-0.008762,-0.016866,-0.999224,-1.380867,-1.664558,-0.008329,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
6,0.025000,-0.016155,0.007380,-0.082061,-0.996469,-1.467188,-1.393625,-0.009926,0.034460,-0.008884,-0.016867,-0.999224,-1.380876,-1.664556,-0.008311,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
7,0.029167,-0.015910,0.007626,-0.082076,-0.996470,-1.467186,-1.393628,-0.009910,0.034380,-0.008809,-0.016946,-0.999226,-1.380881,-1.664572,-0.008311,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
8,0.033333,-0.015761,0.007569,-0.082071,-0.996473,-1.467209,-1.393608,-0.009921,0.034395,-0.008922,-0.016902,-0.999226,-1.380890,-1.664575,-0.008307,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
9,0.037500,-0.015657,0.007635,-0.081975,-0.996482,-1.467242,-1.393601,-0.009928,0.034272,-0.008924,-0.016998,-0.999228,-1.380895,-1.664586,-0.008298,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
10,0.041667,-0.015526,0.007627,-0.082037,-0.996479,-1.467221,-1.393565,-0.009902,0.034239,-0.009071,-0.017018,-0.999228,-1.380884,-1.664594,-0.008282,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
11,0.045833,-0.015451,0.007733,-0.081951,-0.996487,-1.467261,-1.393580,-0.009909,0.034233,-0.009070,-0.017017,-0.999228,-1.380895,-1.664598,-0.008276,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
12,0.050000,-0.015347,0.007811,-0.081870,-0.996494,-1.467314,-1.393599,-0.009921,0.034213,-0.009029,-0.017058,-0.999228,-1.380898,-1.664610,-0.008277,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
13,0.054167,-0.015367,0.007759,-0.081863,-0.996495,-1.467299,-1.393594,-0.009902,0.034086,-0.009054,-0.017206,-0.999230,-1.380897,-1.664615,-0.008265,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
14,0.058333,-0.015216,0.007876,-0.081891,-0.996494,-1.467300,-1.393574,-0.009904,0.034077,-0.009153,-0.017210,-0.999229,-1.380903,-1.664624,-0.008261,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
15,0.062500,-0.014857,0.008022,-0.081970,-0.996492,-1.467287,-1.393554,-0.009898,0.033959,-0.009010,-0.017225,-0.999234,-1.380894,-1.664626,-0.008252,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
16,0.066667,-0.014940,0.007990,-0.081815,-0.996504,-1.467384,-1.393591,-0.009919,0.034005,-0.009182,-0.017273,-0.999230,-1.380899,-1.664640,-0.008251,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
17,0.070833,-0.015062,0.008053,-0.081813,-0.996501,-1.467364,-1.393560,-0.009891,0.033898,-0.009075,-0.017320,-0.999234,-1.380888,-1.664642,-0.008237,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
18,0.075000,-0.014795,0.008124,-0.081716,-0.996513,-1.467337,-1.393520,-0.009891,0.033924,-0.009238,-0.017375,-0.999231,-1.380884,-1.664652,-0.008223,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
19,0.079167,-0.014392,0.008127,-0.081895,-0.996504,-1.467279,-1.393506,-0.009868,0.033802,-0.009279,-0.017439,-0.999233,-1.380879,-1.664661,-0.008220,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
20,0.083333,-0.014480,0.008245,-0.081870,-0.996504,-1.467324,-1.393504,-0.009877,0.033740,-0.009259,-0.017477,-0.999235,-1.380880,-1.664671,-0.008206,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
21,0.087500,-0.014471,0.008183,-0.081805,-0.996510,-1.467336,-1.393511,-0.009877,0.033668,-0.009323,-0.017464,-0.999237,-1.380881,-1.664679,-0.008193,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
22,0.091667,-0.014388,0.008433,-0.081756,-0.996513,-1.467426,-1.393551,-0.009904,0.033641,-0.009357,-0.017641,-0.999235,-1.380882,-1.664691,-0.008180,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
23,0.095833,-0.014308,0.008281,-0.081804,-0.996511,-1.467351,-1.393513,-0.009871,0.033649,-0.009383,-0.017628,-0.999234,-1.380884,-1.664686,-0.008177,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
24,0.100000,-0.014223,0.008384,-0.081753,-0.996516,-1.467386,-1.393508,-0.009877,0.033588,-0.009446,-0.017712,-0.999234,-1.380877,-1.664699,-0.008166,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
25,0.104167,-0.014264,0.008395,-0.081639,-0.996525,-1.467442,-1.393523,-0.009886,0.033623,-0.009470,-0.017721,-0.999233,-1.380884,-1.664707,-0.008153,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
26,0.108333,-0.014119,0.008342,-0.081649,-0.996526,-1.467360,-1.393470,-0.009856,0.033471,-0.009453,-0.017767,-0.999237,-1.380875,-1.664716,-0.008149,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
27,0.112500,-0.013789,0.008413,-0.081722,-0.996524,-1.467340,-1.393458,-0.009846,0.033451,-0.009521,-0.017821,-0.999236,-1.380879,-1.664726,-0.008136,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
28,0.116667,-0.013819,0.008456,-0.081758,-0.996521,-1.467376,-1.393479,-0.009847,0.033285,-0.009472,-0.017875,-0.999241,-1.380895,-1.664743,-0.008129,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
29,0.120833,-0.013734,0.008489,-0.081692,-0.996527,-1.467419,-1.393488,-0.009865,0.033228,-0.009499,-0.017950,-0.999241,-1.380901,-1.664753,-0.008116,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
30,0.125000,-0.013786,0.008501,-0.081595,-0.996534,-1.467418,-1.393478,-0.009855,0.033153,-0.009573,-0.017959,-0.999243,-1.380907,-1.664763,-0.008127,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
31,0.129167,-0.013633,0.008466,-0.081661,-0.996531,-1.467398,-1.393456,-0.009837,0.032985,-0.009589,-0.017971,-0.999248,-1.380912,-1.664752,-0.008119,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
32,0.133333,-0.013623,0.008429,-0.081479,-0.996546,-1.467422,-1.393435,-0.009852,0.032968,-0.009501,-0.018031,-0.999249,-1.380926,-1.664765,-0.008116,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
33,0.137500,-0.013445,0.008571,-0.081572,-0.996540,-1.467386,-1.393430,-0.009817,0.032909,-0.009592,-0.017969,-0.999251,-1.380918,-1.664761,-0.008107,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
34,0.141667,-0.013301,0.008677,-0.081487,-0.996548,-1.467353,-1.393385,-0.009791,0.032768,-0.009636,-0.018037,-0.999254,-1.380933,-1.664783,-0.008102,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
35,0.145833,-0.013405,0.008510,-0.081482,-0.996548,-1.467384,-1.393390,-0.009807,0.032718,-0.009566,-0.018178,-0.999254,-1.380930,-1.664787,-0.008084,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
36,0.150000,-0.013312,0.008764,-0.081436,-0.996551,-1.467495,-1.393435,-0.009820,0.032693,-0.009684,-0.018170,-0.999253,-1.380944,-1.664796,-0.008073,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
37,0.154167,-0.013178,0.008651,-0.081458,-0.996552,-1.467430,-1.393398,-0.009804,0.032582,-0.009668,-0.018275,-0.999255,-1.380962,-1.664805,-0.008080,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
38,0.158333,-0.012984,0.008756,-0.081412,-0.996557,-1.467474,-1.393411,-0.009809,0.032523,-0.009824,-0.018168,-0.999258,-1.380980,-1.664803,-0.008075,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
39,0.162500,-0.012880,0.008967,-0.081407,-0.996557,-1.467482,-1.393404,-0.009816,0.032345,-0.009716,-0.018203,-0.999264,-1.380968,-1.664830,-0.008065,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
40,0.166667,-0.012547,0.008752,-0.081413,-0.996563,-1.467354,-1.393310,-0.009751,0.032343,-0.009758,-0.018262,-0.999262,-1.380986,-1.664834,-0.008056,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
41,0.170833,-0.012447,0.008765,-0.081365,-0.996568,-1.467382,-1.393315,-0.009739,0.032222,-0.009732,-0.018380,-0.999264,-1.380985,-1.664845,-0.008044,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
42,0.175000,-0.012254,0.008845,-0.081225,-0.996581,-1.467444,-1.393327,-0.009724,0.032110,-0.009621,-0.018391,-0.999269,-1.380999,-1.664852,-0.008035,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
43,0.179167,-0.012372,0.009095,-0.081112,-0.996587,-1.467562,-1.393374,-0.009746,0.032039,-0.009631,-0.018458,-0.999270,-1.381013,-1.664861,-0.008021,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
44,0.183333,-0.012128,0.009086,-0.081124,-0.996589,-1.467567,-1.393334,-0.009739,0.031907,-0.009706,-0.018538,-0.999272,-1.381024,-1.664879,-0.008011,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
45,0.187500,-0.012071,0.008896,-0.080974,-0.996603,-1.467510,-1.393269,-0.009714,0.031663,-0.009631,-0.018532,-0.999280,-1.381058,-1.664901,-0.008008,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
46,0.191667,-0.011968,0.009097,-0.080841,-0.996614,-1.467564,-1.393255,-0.009713,0.031632,-0.009560,-0.018681,-0.999279,-1.381062,-1.664916,-0.007989,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
47,0.195833,-0.011464,0.009033,-0.080960,-0.996610,-1.467506,-1.393220,-0.009677,0.031599,-0.009510,-0.018900,-0.999277,-1.381083,-1.664956,-0.008011,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
48,0.200000,-0.011402,0.009232,-0.080821,-0.996621,-1.467590,-1.393230,-0.009700,0.031500,-0.009467,-0.019008,-0.999278,-1.381089,-1.664978,-0.008000,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
49,0.204167,-0.011063,0.009148,-0.080799,-0.996627,-1.467547,-1.393198,-0.009664,0.031410,-0.009297,-0.019237,-0.999278,-1.381109,-1.665013,-0.008023,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
50,0.208333,-0.011109,0.009243,-0.080719,-0.996632,-1.467604,-1.393203,-0.009671,0.031177,-0.009181,-0.019397,-0.999283,-1.381124,-1.665046,-0.008030,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
51,0.212500,-0.010896,0.009237,-0.080675,-0.996638,-1.467575,-1.393167,-0.009637,0.031112,-0.009039,-0.019529,-0.999284,-1.381128,-1.665078,-0.008023,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
52,0.216667,-0.010564,0.009222,-0.080640,-0.996645,-1.467514,-1.393117,-0.009588,0.031002,-0.009064,-0.019674,-0.999285,-1.381169,-1.665106,-0.008038,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
53,0.220833,-0.010436,0.009432,-0.080526,-0.996653,-1.467649,-1.393170,-0.009619,0.030931,-0.008907,-0.019880,-0.999284,-1.381199,-1.665132,-0.008042,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
54,0.225000,-0.010105,0.009360,-0.080435,-0.996665,-1.467649,-1.393130,-0.009594,0.030669,-0.008737,-0.020102,-0.999289,-1.381216,-1.665182,-0.008030,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
55,0.229167,-0.010080,0.009541,-0.080310,-0.996673,-1.467700,-1.393125,-0.009590,0.030505,-0.008547,-0.020246,-0.999293,-1.381246,-1.665217,-0.008035,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
56,0.233333,-0.009748,0.009469,-0.080338,-0.996675,-1.467659,-1.393096,-0.009524,0.030215,-0.008474,-0.020373,-0.999300,-1.381272,-1.665257,-0.008057,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
57,0.237500,-0.009465,0.009474,-0.080262,-0.996684,-1.467636,-1.393057,-0.009506,0.030097,-0.008213,-0.020599,-0.999301,-1.381297,-1.665291,-0.008074,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
58,0.241667,-0.009258,0.009673,-0.080357,-0.996676,-1.467729,-1.393094,-0.009514,0.029870,-0.008070,-0.020794,-0.999305,-1.381333,-1.665328,-0.008083,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
59,0.245833,-0.009256,0.009693,-0.080158,-0.996692,-1.467797,-1.393090,-0.009484,0.029535,-0.007990,-0.020913,-0.999313,-1.381360,-1.665362,-0.008070,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
60,0.250000,-0.008898,0.009771,-0.080149,-0.996695,-1.467765,-1.393057,-0.009457,0.029203,-0.007804,-0.020997,-0.999323,-1.381388,-1.665383,-0.008061,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
61,0.254167,-0.008695,0.010048,-0.080065,-0.996701,-1.467836,-1.393072,-0.009462,0.028961,-0.007802,-0.021095,-0.999328,-1.381431,-1.665419,-0.008061,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
62,0.258333,-0.008451,0.010037,-0.080109,-0.996700,-1.467828,-1.393049,-0.009407,0.028822,-0.007844,-0.021163,-0.999330,-1.381458,-1.665440,-0.008058,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
63,0.262500,-0.008321,0.010229,-0.079983,-0.996709,-1.467891,-1.393060,-0.009412,0.028556,-0.007723,-0.021206,-0.999337,-1.381465,-1.665433,-0.008051,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
64,0.266667,-0.007997,0.010005,-0.080012,-0.996712,-1.467857,-1.393018,-0.009379,0.028465,-0.007677,-0.021396,-0.999336,-1.381501,-1.665449,-0.008044,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
65,0.270833,-0.007792,0.010136,-0.080040,-0.996710,-1.467923,-1.393037,-0.009381,0.028113,-0.007695,-0.021494,-0.999344,-1.381543,-1.665475,-0.008046,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
66,0.275000,-0.007584,0.010108,-0.080150,-0.996703,-1.467935,-1.393023,-0.009359,0.027843,-0.007579,-0.021657,-0.999349,-1.381565,-1.665509,-0.008030,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
67,0.279167,-0.007382,0.010026,-0.080343,-0.996690,-1.467864,-1.392933,-0.009307,0.027661,-0.007620,-0.021799,-0.999351,-1.381576,-1.665536,-0.008020,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
68,0.283333,-0.007254,0.010312,-0.081165,-0.996621,-1.468009,-1.392850,-0.009339,0.027467,-0.007656,-0.021902,-0.999353,-1.381592,-1.665551,-0.007999,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
69,0.287500,-0.006494,0.009904,-0.082251,-0.996541,-1.468028,-1.392668,-0.009331,0.027165,-0.007628,-0.022055,-0.999359,-1.381595,-1.665598,-0.007998,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
70,0.291667,-0.005433,0.009835,-0.083201,-0.996469,-1.468120,-1.392443,-0.009327,0.026895,-0.007604,-0.022205,-0.999363,-1.381602,-1.665630,-0.007990,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
71,0.295833,-0.004609,0.009945,-0.083942,-0.996410,-1.468366,-1.392341,-0.009351,0.026594,-0.007775,-0.022347,-0.999366,-1.381588,-1.665678,-0.007970,0.146455,0.084767,0.744472,-0.645853,-1.257666,-1.550614,0.005776
