Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
0,0.000000,-0.023713,0.051875,-0.897820,0.436653,-0.403302,-0.876371,0.006194,0.003290,-0.047932,0.937034,-0.345918,-0.651788,-0.691877,0.012337,-0.012086,-0.003565,0.825229,-0.564658,-0.520234,-0.841688,0.929703
1,0.004167,-0.023968,0.052004,-0.897809,0.436646,-0.403315,-0.876369,0.006177,0.003235,-0.047891,0.937027,-0.345944,-0.651802,-0.691872,0.012335,-0.011789,-0.003474,0.825483,-0.564294,-0.520094,-0.841800,0.929688
2,0.008333,-0.024124,0.052049,-0.897748,0.436758,-0.403324,-0.876360,0.006169,0.003142,-0.047756,0.937038,-0.345932,-0.651820,-0.691864,0.012336,-0.011640,-0.003621,0.825684,-0.564002,-0.519964,-0.841862,0.929718
3,0.012500,-0.024240,0.052063,-0.897688,0.436873,-0.403331,-0.876351,0.006153,0.003048,-0.047536,0.937051,-0.345929,-0.651841,-0.691859,0.012339,-0.011662,-0.003720,0.825850,-0.563757,-0.519845,-0.841915,0.929771
4,0.016667,-0.024512,0.052154,-0.897630,0.436967,-0.403359,-0.876343,0.006130,0.002899,-0.047414,0.937055,-0.345935,-0.651860,-0.691851,0.012345,-0.011707,-0.003816,0.826017,-0.563511,-0.519737,-0.841975,0.929817
5,0.020833,-0.024618,0.052186,-0.897606,0.437007,-0.403357,-0.876342,0.006117,0.002902,-0.047323,0.937070,-0.345908,-0.651875,-0.691850,0.012337,-0.011807,-0.003899,0.826174,-0.563278,-0.519631,-0.842037,0.929838
6,0.025000,-0.024689,0.052376,-0.897642,0.436906,-0.403352,-0.876345,0.006129,0.002762,-0.047255,0.937065,-0.345933,-0.651898,-0.691842,0.012348,-0.011912,-0.003957,0.826307,-0.563080,-0.519510,-0.842070,0.929870
7,0.029167,-0.024762,0.052287,-0.897592,0.437014,-0.403361,-0.876344,0.006117,0.002676,-0.047130,0.937069,-0.345939,-0.651917,-0.691839,0.012350,-0.011743,-0.004007,0.826512,-0.562782,-0.519312,-0.842158,0.929879
8,0.033333,-0.025027,0.052381,-0.897514,0.437147,-0.403380,-0.876332,0.006087,0.002583,-0.047018,0.937074,-0.345941,-0.651931,-0.691821,0.012357,-0.011620,-0.004075,0.826747,-0.562439,-0.519131,-0.842226,0.929889
9,0.037500,-0.025358,0.052542,-0.897469,0.437202,-0.403395,-0.876324,0.006073,0.002403,-0.046889,0.937073,-0.345964,-0.651946,-0.691811,0.012365,-0.011527,-0.004174,0.826990,-0.562083,-0.518945,-0.842295,0.929892
10,0.041667,-0.025510,0.052573,-0.897405,0.437321,-0.403403,-0.876317,0.006063,0.002344,-0.046755,0.937088,-0.345941,-0.651968,-0.691807,0.012364,-0.011289,-0.004239,0.827277,-0.561664,-0.518723,-0.842350,0.929910
