Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
0,0.000000,0.057316,0.012633,0.028346,-0.997874,-0.725590,0.860276,0.035586,0.021893,-0.003230,0.159026,-0.987026,-0.747006,0.579560,0.034008,-0.006281,0.049814,-0.027439,0.998362,-0.726770,0.748607,0.955762
1,0.004167,0.057628,0.012667,0.028389,-0.997854,-0.725591,0.860269,0.035575,0.022123,-0.003230,0.158947,-0.987034,-0.746998,0.579581,0.034023,-0.006248,0.049898,-0.027792,0.998348,-0.726626,0.749305,0.955666
2,0.008333,0.057198,0.012631,0.027747,-0.997897,-0.725675,0.860145,0.035639,0.022341,-0.003286,0.158904,-0.987036,-0.746987,0.579606,0.034030,-0.006160,0.049948,-0.027909,0.998343,-0.726418,0.749923,0.955719
3,0.012500,0.057209,0.012715,0.027788,-0.997894,-0.725683,0.860150,0.035629,0.022615,-0.003317,0.158832,-0.987041,-0.746972,0.579634,0.034038,-0.006319,0.049883,-0.027895,0.998346,-0.726246,0.750563,0.955703
4,0.016667,0.057834,0.012711,0.028487,-0.997839,-0.725611,0.860286,0.035572,0.022940,-0.003389,0.158780,-0.987042,-0.746970,0.579648,0.034039,-0.002447,0.049769,-0.030052,0.998306,-0.725341,0.751551,0.956251
5,0.020833,0.057239,0.012757,0.027793,-0.997892,-0.725697,0.860155,0.035632,0.023239,-0.003472,0.158691,-0.987049,-0.746962,0.579682,0.034045,-0.006251,0.050015,-0.028039,0.998335,-0.725875,0.751863,0.955770
6,0.025000,0.057424,0.012772,0.027852,-0.997880,-0.725707,0.860166,0.035637,0.023507,-0.003491,0.158702,-0.987041,-0.746951,0.579695,0.034054,-0.006287,0.050145,-0.028407,0.998318,-0.725665,0.752578,0.955694
7,0.029167,0.057330,0.012678,0.027834,-0.997887,-0.725711,0.860167,0.035630,0.023797,-0.003554,0.158572,-0.987054,-0.746939,0.579728,0.034065,-0.006078,0.050213,-0.028414,0.998316,-0.725506,0.753215,0.955789
8,0.033333,0.056934,0.012704,0.028448,-0.997892,-0.725657,0.860253,0.035565,0.024157,-0.003695,0.158514,-0.987054,-0.746928,0.579761,0.034066,-0.006369,0.050283,-0.028478,0.998309,-0.725291,0.753883,0.955756
9,0.037500,0.055893,0.012547,0.027876,-0.997969,-0.725748,0.860134,0.035620,0.024533,-0.003823,0.158375,-0.987067,-0.746917,0.579803,0.034075,-0.006314,0.050341,-0.028471,0.998306,-0.725079,0.754544,0.955829
10,0.041667,0.056657,0.012630,0.028596,-0.997904,-0.725665,0.860252,0.035553,0.024855,-0.003862,0.158302,-0.987070,-0.746903,0.579836,0.034081,-0.006475,0.050389,-0.028500,0.998302,-0.724860,0.755253,0.955792
11,0.045833,0.056019,0.012595,0.028121,-0.997954,-0.725742,0.860178,0.035620,0.025681,-0.004134,0.158029,-0.987092,-0.746849,0.579936,0.033994,-0.006471,0.050470,-0.028530,0.998297,-0.724683,0.755930,0.955786
12,0.050000,0.056170,0.012598,0.028240,-0.997942,-0.725734,0.860209,0.035620,0.026103,-0.004311,0.157888,-0.987103,-0.746828,0.579981,0.033983,-0.006389,0.050689,-0.028706,0.998281,-0.724483,0.756623,0.955722
13,0.054167,0.056276,0.012591,0.028285,-0.997935,-0.725739,0.860208,0.035618,0.026431,-0.004406,0.157797,-0.987108,-0.746810,0.580033,0.033994,-0.006227,0.050909,-0.029106,0.998260,-0.724211,0.757387,0.955662
14,0.058333,0.057145,0.012681,0.028763,-0.997871,-0.725670,0.860293,0.035554,0.026952,-0.004554,0.157707,-0.987107,-0.746796,0.580078,0.033986,-0.006259,0.050987,-0.028961,0.998260,-0.723994,0.758043,0.955705
15,0.062500,0.056409,0.012625,0.028489,-0.997921,-0.725743,0.860272,0.035622,0.027491,-0.004727,0.157602,-0.987109,-0.746770,0.580128,0.033974,-0.006437,0.050973,-0.029194,0.998253,-0.723679,0.758785,0.955629
16,0.066667,0.056411,0.012637,0.028557,-0.997919,-0.725753,0.860278,0.035617,0.027852,-0.004862,0.157472,-0.987119,-0.746754,0.580170,0.033966,-0.006447,0.051037,-0.029101,0.998252,-0.723477,0.759444,0.955696
17,0.070833,0.056539,0.012640,0.028666,-0.997909,-0.725759,0.860309,0.035614,0.028234,-0.004969,0.157398,-0.987119,-0.746738,0.580231,0.033977,-0.006287,0.051155,-0.029299,0.998241,-0.723285,0.760179,0.955664
18,0.075000,0.056763,0.012680,0.028786,-0.997892,-0.725770,0.860337,0.035612,0.028846,-0.005192,0.157234,-0.987126,-0.746723,0.580280,0.033954,-0.006203,0.051338,-0.029537,0.998225,-0.723051,0.760904,0.955672
19,0.079167,0.056844,0.012727,0.028913,-0.997883,-0.725779,0.860371,0.035616,0.029280,-0.005231,0.157007,-0.987149,-0.746746,0.580324,0.033942,-0.006040,0.051305,-0.029729,0.998222,-0.722809,0.761618,0.955711
20,0.083333,0.057070,0.012734,0.029039,-0.997867,-0.725777,0.860394,0.035605,0.029856,-0.005410,0.156920,-0.987145,-0.746730,0.580379,0.033934,-0.006413,0.051337,-0.029793,0.998216,-0.722521,0.762359,0.955660
21,0.087500,0.057169,0.012749,0.029131,-0.997858,-0.725796,0.860411,0.035606,0.030402,-0.005600,0.156851,-0.987138,-0.746712,0.580428,0.033927,-0.006488,0.051225,-0.029762,0.998223,-0.722307,0.763036,0.955742
22,0.091667,0.057404,0.012830,0.029281,-0.997839,-0.725806,0.860443,0.035615,0.030969,-0.005735,0.156785,-0.987130,-0.746691,0.580482,0.033920,-0.006589,0.051365,-0.030155,0.998203,-0.722024,0.763812,0.955601
23,0.095833,0.058598,0.012922,0.029457,-0.997763,-0.725768,0.860465,0.035554,0.031498,-0.005990,0.156726,-0.987122,-0.746675,0.580536,0.033908,-0.006730,0.051347,-0.030062,0.998206,-0.721851,0.764516,0.955639
24,0.100000,0.057522,0.012814,0.029373,-0.997830,-0.725822,0.860461,0.035597,0.029522,-0.005090,0.157656,-0.987040,-0.746535,0.580441,0.034137,-0.007163,0.051279,-0.030393,0.998196,-0.721571,0.765364,0.955471
25,0.104167,0.057639,0.012804,0.029509,-0.997819,-0.725833,0.860477,0.035598,0.030113,-0.005318,0.157596,-0.987030,-0.746510,0.580499,0.034125,-0.007287,0.051924,-0.030650,0.998154,-0.721290,0.766228,0.955157
26,0.108333,0.058774,0.012944,0.029828,-0.997742,-0.725809,0.860525,0.035543,0.030551,-0.005459,0.157619,-0.987012,-0.746485,0.580551,0.034124,-0.009955,0.049981,-0.029463,0.998266,-0.721376,0.767092,0.955044
27,0.112500,0.057786,0.012810,0.029760,-0.997803,-0.725860,0.860526,0.035601,0.031097,-0.005697,0.157595,-0.986998,-0.746463,0.580611,0.034106,-0.011144,0.049268,-0.028154,0.998327,-0.721559,0.767699,0.954900
28,0.116667,0.057851,0.012863,0.029922,-0.997794,-0.725864,0.860536,0.035598,0.031602,-0.005850,0.157653,-0.986972,-0.746435,0.580667,0.034102,-0.011455,0.049155,-0.027945,0.998334,-0.721449,0.768371,0.954762
29,0.120833,0.057811,0.012836,0.030165,-0.997789,-0.725868,0.860577,0.035597,0.032129,-0.006096,0.157626,-0.986957,-0.746399,0.580730,0.034092,-0.007323,0.051802,-0.031656,0.998129,-0.720303,0.769140,0.955143
30,0.125000,0.057784,0.012823,0.030445,-0.997782,-0.725878,0.860616,0.035581,0.032684,-0.006322,0.157655,-0.986933,-0.746373,0.580786,0.034085,-0.007860,0.051316,-0.031750,0.998147,-0.720023,0.769903,0.955183
31,0.129167,0.058347,0.012847,0.030753,-0.997740,-0.725874,0.860688,0.035562,0.033320,-0.006653,0.157706,-0.986901,-0.746340,0.580849,0.034067,-0.007741,0.051009,-0.031842,0.998161,-0.719849,0.770591,0.955301
32,0.133333,0.058040,0.012790,0.030904,-0.997754,-0.725889,0.860664,0.035591,0.033901,-0.006988,0.157774,-0.986869,-0.746309,0.580902,0.034073,-0.007828,0.050978,-0.032243,0.998149,-0.719535,0.771361,0.955190
33,0.137500,0.057863,0.012800,0.031205,-0.997755,-0.725900,0.860711,0.035571,0.034545,-0.007364,0.157850,-0.986831,-0.746263,0.580977,0.034073,-0.007739,0.050979,-0.032500,0.998141,-0.719334,0.772066,0.955194
34,0.141667,0.058104,0.012832,0.031365,-0.997735,-0.725908,0.860727,0.035574,0.035120,-0.007705,0.157982,-0.986787,-0.746204,0.581053,0.034057,-0.007735,0.051080,-0.032998,0.998119,-0.719024,0.772872,0.955097
