Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
0,0.000000,0.006513,-0.026292,0.826139,-0.562816,-0.361765,0.601007,0.034234,-0.000939,-0.020708,0.931442,-0.363299,-0.612420,0.733715,0.037165,0.012484,0.018647,-0.814478,0.579760,-0.513113,0.647745,0.955027
1,0.004167,0.006480,-0.026257,0.826155,-0.562794,-0.361773,0.601009,0.034241,-0.000929,-0.020723,0.931435,-0.363317,-0.612423,0.733716,0.037163,0.012438,0.018664,-0.814484,0.579752,-0.513200,0.647782,0.955026
2,0.008333,0.006512,-0.026260,0.826164,-0.562779,-0.361774,0.601008,0.034234,-0.000932,-0.020700,0.931429,-0.363333,-0.612421,0.733719,0.037165,0.012438,0.018717,-0.814489,0.579743,-0.513286,0.647823,0.955015
3,0.012500,0.006482,-0.026243,0.826166,-0.562778,-0.361776,0.601006,0.034232,-0.000963,-0.020651,0.931427,-0.363340,-0.612424,0.733723,0.037171,0.012453,0.018766,-0.814500,0.579726,-0.513366,0.647879,0.955014
4,0.016667,0.006424,-0.026152,0.826188,-0.562751,-0.361780,0.601010,0.034228,-0.000933,-0.020686,0.931421,-0.363355,-0.612423,0.733724,0.037168,0.012446,0.018820,-0.814504,0.579719,-0.513462,0.647928,0.955004
5,0.020833,0.006383,-0.026130,0.826203,-0.562731,-0.361787,0.601012,0.034231,-0.000915,-0.020647,0.931421,-0.363356,-0.612423,0.733724,0.037172,0.012450,0.018801,-0.814523,0.579693,-0.513559,0.647959,0.954986
6,0.025000,0.006413,-0.026159,0.826206,-0.562724,-0.361789,0.601012,0.034237,-0.000924,-0.020606,0.931423,-0.363354,-0.612421,0.733721,0.037168,0.012430,0.018864,-0.814526,0.579687,-0.513656,0.647994,0.954971
7,0.029167,0.006399,-0.026146,0.826190,-0.562749,-0.361787,0.601013,0.034237,-0.000960,-0.020564,0.931412,-0.363384,-0.612419,0.733723,0.037170,0.012433,0.018888,-0.814500,0.579722,-0.513770,0.648027,0.954971
8,0.033333,0.006422,-0.026183,0.826178,-0.562764,-0.361796,0.601011,0.034226,-0.000972,-0.020483,0.931417,-0.363377,-0.612421,0.733724,0.037168,0.012448,0.018959,-0.814514,0.579701,-0.513874,0.648054,0.954961
9,0.037500,0.006462,-0.026187,0.826205,-0.562724,-0.361802,0.601015,0.034238,-0.000953,-0.020455,0.931419,-0.363371,-0.612426,0.733729,0.037176,0.012443,0.019020,-0.814524,0.579684,-0.513977,0.648086,0.954955
10,0.041667,0.006333,-0.026111,0.826207,-0.562726,-0.361796,0.601018,0.034242,-0.000960,-0.020457,0.931413,-0.363387,-0.612424,0.733729,0.037178,0.012577,0.019060,-0.814555,0.579636,-0.514073,0.648123,0.954927
11,0.045833,0.006337,-0.026084,0.826203,-0.562733,-0.361795,0.601013,0.034229,-0.000983,-0.020401,0.931404,-0.363415,-0.612425,0.733729,0.037176,0.012579,0.019117,-0.814553,0.579637,-0.514170,0.648165,0.954906
12,0.050000,0.006354,-0.026069,0.826212,-0.562720,-0.361795,0.601019,0.034228,-0.000998,-0.020433,0.931397,-0.363430,-0.612421,0.733729,0.037170,0.012633,0.019163,-0.814583,0.579592,-0.514253,0.648220,0.954908
13,0.054167,0.006380,-0.026121,0.826226,-0.562696,-0.361803,0.601022,0.034230,-0.001001,-0.020367,0.931400,-0.363426,-0.612427,0.733728,0.037174,0.012672,0.019242,-0.814589,0.579580,-0.514360,0.648252,0.954894
14,0.058333,0.006384,-0.026080,0.826238,-0.562681,-0.361804,0.601022,0.034232,-0.001031,-0.020361,0.931399,-0.363430,-0.612425,0.733729,0.037170,0.012659,0.019275,-0.814592,0.579576,-0.514461,0.648295,0.954896
15,0.062500,0.006384,-0.026043,0.826258,-0.562654,-0.361798,0.601027,0.034230,-0.001022,-0.020321,0.931396,-0.363438,-0.612428,0.733725,0.037176,0.012700,0.019283,-0.814624,0.579529,-0.514569,0.648330,0.954893
16,0.066667,0.006396,-0.026102,0.826252,-0.562659,-0.361807,0.601022,0.034236,-0.001029,-0.020316,0.931399,-0.363432,-0.612431,0.733720,0.037173,0.012794,0.019310,-0.814665,0.579469,-0.514668,0.648366,0.954896
17,0.070833,0.006246,-0.026013,0.826239,-0.562684,-0.361799,0.601024,0.034231,-0.001000,-0.020356,0.931393,-0.363443,-0.612427,0.733724,0.037169,0.012855,0.019344,-0.814701,0.579416,-0.514769,0.648405,0.954901
18,0.075000,0.006235,-0.025975,0.826245,-0.562677,-0.361808,0.601020,0.034239,-0.001034,-0.020270,0.931392,-0.363451,-0.612426,0.733725,0.037177,0.012885,0.019359,-0.814720,0.579388,-0.514863,0.648460,0.954908
19,0.079167,0.006141,-0.025915,0.826251,-0.562672,-0.361814,0.601019,0.034235,-0.001038,-0.020285,0.931388,-0.363462,-0.612421,0.733728,0.037174,0.012934,0.019365,-0.814748,0.579348,-0.514959,0.648506,0.954919
20,0.083333,0.006241,-0.025952,0.826254,-0.562665,-0.361806,0.601017,0.034237,-0.001055,-0.020228,0.931386,-0.363468,-0.612424,0.733727,0.037176,0.012973,0.019369,-0.814781,0.579301,-0.515054,0.648558,0.954921
21,0.087500,0.006173,-0.025939,0.826239,-0.562689,-0.361805,0.601016,0.034239,-0.001044,-0.020227,0.931375,-0.363498,-0.612422,0.733729,0.037174,0.012956,0.019368,-0.814815,0.579253,-0.515162,0.648602,0.954931
22,0.091667,0.006204,-0.025954,0.826244,-0.562681,-0.361816,0.601018,0.034243,-0.001055,-0.020219,0.931366,-0.363521,-0.612421,0.733728,0.037172,0.012937,0.019360,-0.814841,0.579217,-0.515250,0.648668,0.954940
23,0.095833,0.006146,-0.025949,0.826258,-0.562661,-0.361810,0.601023,0.034232,-0.001056,-0.020146,0.931381,-0.363486,-0.612422,0.733727,0.037177,0.012961,0.019384,-0.814858,0.579191,-0.515335,0.648731,0.954943
24,0.100000,0.006153,-0.025944,0.826241,-0.562686,-0.361805,0.601023,0.034230,-0.001060,-0.020226,0.931373,-0.363502,-0.612420,0.733724,0.037175,0.012976,0.019373,-0.814890,0.579147,-0.515440,0.648781,0.954950
25,0.104167,0.006147,-0.025920,0.826240,-0.562689,-0.361813,0.601020,0.034236,-0.001091,-0.020197,0.931367,-0.363519,-0.612424,0.733715,0.037165,0.013011,0.019426,-0.814924,0.579097,-0.515539,0.648838,0.954949
26,0.108333,0.006123,-0.025903,0.826241,-0.562688,-0.361816,0.601025,0.034238,-0.001089,-0.020218,0.931374,-0.363501,-0.612424,0.733715,0.037164,0.013014,0.019418,-0.814958,0.579048,-0.515659,0.648885,0.954958
27,0.112500,0.006116,-0.025942,0.826225,-0.562710,-0.361821,0.601021,0.034243,-0.001083,-0.020230,0.931366,-0.363520,-0.612424,0.733711,0.037161,0.013056,0.019409,-0.814974,0.579026,-0.515780,0.648927,0.954961
28,0.116667,0.006121,-0.026100,0.826290,-0.562606,-0.361851,0.601016,0.034212,-0.001101,-0.020155,0.931353,-0.363558,-0.612425,0.733718,0.037167,0.013078,0.019434,-0.814999,0.578988,-0.515906,0.648969,0.954955
29,0.120833,0.005992,-0.026067,0.826303,-0.562590,-0.361859,0.601018,0.034196,-0.001116,-0.020103,0.931345,-0.363581,-0.612423,0.733722,0.037174,0.013063,0.019348,-0.815016,0.578968,-0.516031,0.649039,0.954941
30,0.125000,0.005962,-0.026056,0.826297,-0.562600,-0.361879,0.601019,0.034198,-0.001134,-0.020123,0.931345,-0.363581,-0.612423,0.733723,0.037169,0.013084,0.019346,-0.815044,0.578928,-0.516144,0.649079,0.954932
31,0.129167,0.006018,-0.026102,0.826294,-0.562602,-0.361883,0.601011,0.034203,-0.001115,-0.020110,0.931337,-0.363600,-0.612424,0.733723,0.037169,0.013144,0.019376,-0.815066,0.578896,-0.516268,0.649135,0.954921
32,0.133333,0.005981,-0.026088,0.826297,-0.562599,-0.361895,0.601014,0.034210,-0.001138,-0.020070,0.931337,-0.363602,-0.612426,0.733723,0.037169,0.013262,0.019451,-0.815092,0.578853,-0.516385,0.649179,0.954909
33,0.137500,0.006018,-0.025914,0.826244,-0.562684,-0.361876,0.601022,0.034231,-0.001111,-0.020068,0.931330,-0.363622,-0.612426,0.733723,0.037166,0.013317,0.019431,-0.815120,0.578813,-0.516501,0.649221,0.954893
34,0.141667,0.006023,-0.026048,0.826291,-0.562608,-0.361902,0.601012,0.034206,-0.001153,-0.020059,0.931328,-0.363626,-0.612432,0.733717,0.037164,0.013461,0.019479,-0.815154,0.578760,-0.516623,0.649267,0.954866
35,0.145833,0.006000,-0.026111,0.826317,-0.562568,-0.361921,0.601010,0.034211,-0.001165,-0.020078,0.931315,-0.363660,-0.612430,0.733718,0.037163,0.013539,0.019576,-0.815188,0.578707,-0.516723,0.649324,0.954870
