Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
0,0.000000,0.004174,0.016600,-0.799455,0.600482,0.311939,-1.019614,0.008431,0.008927,-0.041923,0.896074,-0.441830,0.001943,-0.905231,0.010600,0.005293,0.004165,0.752750,-0.658272,0.154967,-0.999399,0.928074
1,0.004167,0.004132,0.016641,-0.799474,0.600456,0.311943,-1.019608,0.008429,0.008941,-0.041907,0.896081,-0.441818,0.001946,-0.905230,0.010603,0.005359,0.004124,0.752843,-0.658165,0.154991,-0.999390,0.928083
2,0.008333,0.004098,0.016712,-0.799471,0.600459,0.311955,-1.019604,0.008434,0.008938,-0.041928,0.896083,-0.441812,0.001949,-0.905230,0.010598,0.005342,0.004095,0.752917,-0.658081,0.155011,-0.999368,0.928093
3,0.012500,0.004131,0.016654,-0.799465,0.600467,0.311958,-1.019606,0.008432,0.008928,-0.041873,0.896081,-0.441822,0.001948,-0.905234,0.010604,0.005355,0.004082,0.753015,-0.657969,0.155046,-0.999353,0.928098
4,0.016667,0.003984,0.016738,-0.799468,0.600462,0.311957,-1.019607,0.008429,0.008935,-0.041874,0.896085,-0.441812,0.001944,-0.905235,0.010599,0.005349,0.004072,0.753080,-0.657894,0.155073,-0.999339,0.928103
5,0.020833,0.004028,0.016736,-0.799491,0.600432,0.311954,-1.019609,0.008421,0.008966,-0.041923,0.896083,-0.441812,0.001947,-0.905237,0.010598,0.005355,0.004017,0.753155,-0.657810,0.155109,-0.999324,0.928100
6,0.025000,0.003988,0.016769,-0.799486,0.600437,0.311962,-1.019605,0.008416,0.008965,-0.041928,0.896083,-0.441810,0.001944,-0.905234,0.010599,0.005367,0.004053,0.753239,-0.657712,0.155142,-0.999313,0.928097
7,0.029167,0.003894,0.016891,-0.799502,0.600414,0.311965,-1.019595,0.008428,0.008952,-0.041896,0.896095,-0.441790,0.001942,-0.905237,0.010597,0.005343,0.004042,0.753296,-0.657647,0.155177,-0.999303,0.928096
8,0.033333,0.003905,0.016903,-0.799543,0.600358,0.311963,-1.019594,0.008428,0.008962,-0.041885,0.896098,-0.441785,0.001942,-0.905234,0.010599,0.005341,0.004016,0.753351,-0.657585,0.155215,-0.999286,0.928090
9,0.037500,0.003893,0.016886,-0.799535,0.600369,0.311969,-1.019595,0.008422,0.008996,-0.041933,0.896099,-0.441777,0.001945,-0.905236,0.010602,0.005288,0.004058,0.753427,-0.657497,0.155248,-0.999275,0.928095
10,0.041667,0.003846,0.016826,-0.799546,0.600357,0.311971,-1.019600,0.008419,0.008990,-0.041945,0.896098,-0.441778,0.001944,-0.905232,0.010600,0.005263,0.004015,0.753464,-0.657456,0.155281,-0.999258,0.928102
11,0.045833,0.003836,0.016857,-0.799549,0.600353,0.311974,-1.019599,0.008412,0.008961,-0.041882,0.896095,-0.441792,0.001949,-0.905234,0.010596,0.005269,0.004033,0.753531,-0.657379,0.155313,-0.999247,0.928098
12,0.050000,0.003825,0.016831,-0.799546,0.600356,0.311982,-1.019605,0.008408,0.009002,-0.041936,0.896095,-0.441785,0.001950,-0.905234,0.010597,0.005249,0.004002,0.753570,-0.657335,0.155341,-0.999231,0.928098
13,0.054167,0.003811,0.016856,-0.799556,0.600343,0.311988,-1.019594,0.008412,0.009000,-0.041912,0.896107,-0.441764,0.001948,-0.905237,0.010599,0.005258,0.004011,0.753629,-0.657267,0.155370,-0.999211,0.928100
14,0.058333,0.003736,0.016911,-0.799583,0.600306,0.311991,-1.019589,0.008418,0.009005,-0.041922,0.896101,-0.441774,0.001948,-0.905232,0.010599,0.005258,0.003974,0.753682,-0.657206,0.155396,-0.999189,0.928100
15,0.062500,0.003603,0.016998,-0.799610,0.600268,0.311994,-1.019598,0.008407,0.008980,-0.041889,0.896102,-0.441776,0.001949,-0.905235,0.010596,0.005246,0.003942,0.753735,-0.657146,0.155421,-0.999173,0.928098
16,0.066667,0.003651,0.016930,-0.799617,0.600260,0.311998,-1.019595,0.008410,0.009025,-0.041924,0.896103,-0.441769,0.001940,-0.905239,0.010596,0.005273,0.003934,0.753787,-0.657086,0.155445,-0.999155,0.928100
17,0.070833,0.003630,0.016951,-0.799620,0.600256,0.311994,-1.019594,0.008406,0.009005,-0.041892,0.896105,-0.441769,0.001945,-0.905234,0.010595,0.005256,0.003882,0.753847,-0.657018,0.155470,-0.999137,0.928099
18,0.075000,0.003561,0.016926,-0.799634,0.600239,0.312000,-1.019592,0.008408,0.009026,-0.041903,0.896116,-0.441744,0.001947,-0.905236,0.010590,0.005223,0.003878,0.753894,-0.656964,0.155485,-0.999116,0.928102
19,0.079167,0.003418,0.017087,-0.799650,0.600213,0.312004,-1.019592,0.008411,0.009006,-0.041863,0.896113,-0.441756,0.001949,-0.905230,0.010599,0.005266,0.003848,0.753933,-0.656920,0.155502,-0.999086,0.928106
20,0.083333,0.003471,0.017030,-0.799657,0.600205,0.312006,-1.019588,0.008402,0.009030,-0.041884,0.896113,-0.441754,0.001943,-0.905238,0.010596,0.005239,0.003805,0.753983,-0.656862,0.155522,-0.999062,0.928106
21,0.087500,0.003394,0.017115,-0.799677,0.600177,0.312012,-1.019588,0.008400,0.008998,-0.041893,0.896110,-0.441759,0.001945,-0.905235,0.010600,0.005282,0.003791,0.754020,-0.656819,0.155543,-0.999037,0.928103
22,0.091667,0.003350,0.017098,-0.799700,0.600148,0.312016,-1.019593,0.008396,0.009026,-0.041909,0.896112,-0.441753,0.001941,-0.905237,0.010596,0.005273,0.003790,0.754073,-0.656759,0.155554,-0.999011,0.928108
23,0.095833,0.003293,0.017094,-0.799684,0.600169,0.312019,-1.019594,0.008392,0.009003,-0.041857,0.896108,-0.441766,0.001943,-0.905237,0.010600,0.005277,0.003734,0.754108,-0.656719,0.155572,-0.998985,0.928111
24,0.100000,0.003261,0.017100,-0.799710,0.600134,0.312020,-1.019590,0.008393,0.008982,-0.041857,0.896097,-0.441788,0.001944,-0.905234,0.010604,0.005307,0.003705,0.754134,-0.656689,0.155588,-0.998956,0.928113
25,0.104167,0.003275,0.017158,-0.799715,0.600125,0.312034,-1.019579,0.008396,0.009037,-0.041922,0.896103,-0.441770,0.001936,-0.905234,0.010603,0.005340,0.003665,0.754159,-0.656660,0.155603,-0.998926,0.928117
26,0.108333,0.003154,0.017238,-0.799719,0.600118,0.312037,-1.019583,0.008389,0.009023,-0.041869,0.896110,-0.441761,0.001943,-0.905234,0.010597,0.005364,0.003674,0.754191,-0.656623,0.155618,-0.998894,0.928119
27,0.112500,0.003015,0.017258,-0.799746,0.600083,0.312036,-1.019581,0.008395,0.009006,-0.041883,0.896105,-0.441770,0.001944,-0.905235,0.010606,0.005365,0.003652,0.754211,-0.656600,0.155633,-0.998870,0.928116
28,0.116667,0.003076,0.017243,-0.799761,0.600064,0.312043,-1.019578,0.008395,0.008997,-0.041887,0.896104,-0.441772,0.001945,-0.905233,0.010606,0.005360,0.003623,0.754227,-0.656582,0.155641,-0.998842,0.928121
29,0.120833,0.002952,0.017336,-0.799766,0.600055,0.312050,-1.019574,0.008387,0.008997,-0.041881,0.896103,-0.441774,0.001942,-0.905235,0.010605,0.005371,0.003608,0.754260,-0.656544,0.155657,-0.998810,0.928122
30,0.125000,0.002846,0.017406,-0.799760,0.600061,0.312055,-1.019575,0.008385,0.009029,-0.041930,0.896104,-0.441767,0.001943,-0.905238,0.010606,0.005392,0.003568,0.754267,-0.656536,0.155664,-0.998775,0.928125
31,0.129167,0.002825,0.017385,-0.799779,0.600036,0.312061,-1.019569,0.008389,0.009018,-0.041888,0.896100,-0.441779,0.001944,-0.905235,0.010606,0.005398,0.003563,0.754281,-0.656520,0.155677,-0.998750,0.928123
32,0.133333,0.002697,0.017493,-0.799803,0.600002,0.312063,-1.019566,0.008390,0.009010,-0.041912,0.896094,-0.441789,0.001944,-0.905238,0.010607,0.005396,0.003545,0.754294,-0.656505,0.155685,-0.998713,0.928124
33,0.137500,0.002624,0.017513,-0.799801,0.600004,0.312073,-1.019566,0.008388,0.009028,-0.041908,0.896101,-0.441775,0.001942,-0.905243,0.010607,0.005421,0.003513,0.754314,-0.656482,0.155699,-0.998685,0.928123
34,0.141667,0.002497,0.017542,-0.799814,0.599987,0.312079,-1.019569,0.008384,0.009004,-0.041903,0.896093,-0.441793,0.001950,-0.905237,0.010612,0.005437,0.003501,0.754338,-0.656455,0.155711,-0.998653,0.928128
35,0.145833,0.002455,0.017632,-0.799842,0.599947,0.312084,-1.019555,0.008389,0.009022,-0.041890,0.896097,-0.441785,0.001949,-0.905241,0.010605,0.005429,0.003468,0.754357,-0.656432,0.155726,-0.998622,0.928126
36,0.150000,0.002431,0.017678,-0.799822,0.599973,0.312091,-1.019554,0.008386,0.009018,-0.041929,0.896097,-0.441782,0.001947,-0.905248,0.010609,0.005446,0.003424,0.754365,-0.656424,0.155734,-0.998589,0.928127
37,0.154167,0.002312,0.017630,-0.799840,0.599950,0.312102,-1.019567,0.008373,0.009014,-0.041932,0.896092,-0.441791,0.001948,-0.905245,0.010612,0.005442,0.003412,0.754379,-0.656408,0.155734,-0.998552,0.928132
38,0.158333,0.002196,0.017742,-0.799844,0.599942,0.312110,-1.019556,0.008380,0.009046,-0.041946,0.896094,-0.441785,0.001947,-0.905247,0.010610,0.005441,0.003371,0.754401,-0.656382,0.155742,-0.998514,0.928131
39,0.162500,0.002158,0.017795,-0.799846,0.599937,0.312117,-1.019556,0.008377,0.009032,-0.041929,0.896094,-0.441788,0.001950,-0.905248,0.010610,0.005460,0.003367,0.754432,-0.656347,0.155749,-0.998481,0.928131
40,0.166667,0.002121,0.017777,-0.799870,0.599906,0.312116,-1.019549,0.008380,0.009033,-0.041942,0.896095,-0.441784,0.001949,-0.905249,0.010614,0.005435,0.003325,0.754461,-0.656314,0.155752,-0.998448,0.928135
41,0.170833,0.002040,0.017752,-0.799913,0.599849,0.312114,-1.019556,0.008373,0.009033,-0.041949,0.896094,-0.441784,0.001952,-0.905247,0.010612,0.005426,0.003323,0.754503,-0.656266,0.155757,-0.998412,0.928138
42,0.175000,0.001903,0.017826,-0.799898,0.599869,0.312127,-1.019551,0.008378,0.009027,-0.041955,0.896091,-0.441791,0.001955,-0.905251,0.010616,0.005418,0.003286,0.754526,-0.656239,0.155758,-0.998376,0.928146
43,0.179167,0.001915,0.017875,-0.799922,0.599835,0.312135,-1.019546,0.008381,0.009086,-0.042038,0.896100,-0.441763,0.001954,-0.905254,0.010611,0.005414,0.003254,0.754570,-0.656189,0.155759,-0.998339,0.928148
44,0.183333,0.001835,0.017908,-0.799923,0.599832,0.312147,-1.019539,0.008377,0.009039,-0.041958,0.896111,-0.441750,0.001957,-0.905254,0.010612,0.005418,0.003208,0.754607,-0.656147,0.155761,-0.998297,0.928155
45,0.187500,0.001832,0.017852,-0.799918,0.599841,0.312149,-1.019541,0.008370,0.009061,-0.042013,0.896102,-0.441763,0.001958,-0.905255,0.010612,0.005409,0.003183,0.754646,-0.656103,0.155757,-0.998260,0.928159
46,0.191667,0.001661,0.018022,-0.799945,0.599800,0.312158,-1.019541,0.008374,0.009002,-0.041986,0.896091,-0.441789,0.001961,-0.905254,0.010616,0.005406,0.003151,0.754699,-0.656041,0.155759,-0.998225,0.928164
47,0.195833,0.001530,0.018087,-0.799961,0.599778,0.312170,-1.019539,0.008374,0.009004,-0.041968,0.896093,-0.441786,0.001960,-0.905256,0.010617,0.005381,0.003096,0.754743,-0.655992,0.155756,-0.998190,0.928177
48,0.200000,0.001523,0.018088,-0.799956,0.599784,0.312177,-1.019532,0.008370,0.009019,-0.041969,0.896106,-0.441759,0.001963,-0.905257,0.010612,0.005391,0.003058,0.754796,-0.655930,0.155755,-0.998146,0.928183
49,0.204167,0.001419,0.018136,-0.799960,0.599777,0.312188,-1.019529,0.008383,0.009019,-0.042004,0.896103,-0.441763,0.001957,-0.905259,0.010615,0.005383,0.003017,0.754854,-0.655864,0.155752,-0.998106,0.928191
50,0.208333,0.001225,0.018230,-0.799985,0.599741,0.312200,-1.019530,0.008370,0.009009,-0.041984,0.896097,-0.441777,0.001961,-0.905255,0.010617,0.005374,0.002977,0.754890,-0.655823,0.155748,-0.998060,0.928203
51,0.212500,0.001222,0.018191,-0.799991,0.599735,0.312207,-1.019529,0.008370,0.009000,-0.041946,0.896105,-0.441764,0.001966,-0.905260,0.010616,0.005361,0.002951,0.754953,-0.655750,0.155744,-0.998018,0.928209
52,0.216667,0.001031,0.018301,-0.800013,0.599703,0.312223,-1.019528,0.008372,0.008984,-0.041944,0.896095,-0.441784,0.001963,-0.905259,0.010615,0.005357,0.002888,0.755005,-0.655690,0.155742,-0.997985,0.928223
53,0.220833,0.000977,0.018284,-0.800000,0.599721,0.312235,-1.019529,0.008370,0.009033,-0.041970,0.896104,-0.441763,0.001964,-0.905261,0.010618,0.005352,0.002885,0.755060,-0.655627,0.155728,-0.997936,0.928231
54,0.225000,0.000855,0.018368,-0.800005,0.599711,0.312248,-1.019525,0.008364,0.008984,-0.041967,0.896092,-0.441788,0.001968,-0.905256,0.010620,0.005337,0.002870,0.755125,-0.655553,0.155722,-0.997900,0.928242
55,0.229167,0.000635,0.018498,-0.800021,0.599687,0.312268,-1.019524,0.008364,0.008973,-0.041928,0.896090,-0.441797,0.001967,-0.905257,0.010623,0.005292,0.002795,0.755171,-0.655500,0.155712,-0.997848,0.928250
56,0.233333,0.000588,0.018585,-0.800053,0.599641,0.312273,-1.019514,0.008368,0.008989,-0.041950,0.896097,-0.441780,0.001965,-0.905263,0.010621,0.005252,0.002741,0.755237,-0.655425,0.155703,-0.997803,0.928264
57,0.237500,0.000370,0.018651,-0.800063,0.599626,0.312282,-1.019519,0.008366,0.008979,-0.041959,0.896101,-0.441772,0.001970,-0.905260,0.010623,0.005243,0.002720,0.755299,-0.655354,0.155688,-0.997760,0.928280
58,0.241667,0.000399,0.018681,-0.800061,0.599628,0.312294,-1.019519,0.008362,0.008965,-0.041919,0.896090,-0.441797,0.001968,-0.905261,0.010625,0.005237,0.002671,0.755360,-0.655284,0.155678,-0.997715,0.928290
59,0.245833,0.000249,0.018690,-0.800067,0.599619,0.312307,-1.019518,0.008363,0.008978,-0.041916,0.896095,-0.441787,0.001971,-0.905262,0.010625,0.005233,0.002647,0.755411,-0.655225,0.155663,-0.997664,0.928300
60,0.250000,0.000036,0.018807,-0.800053,0.599634,0.312320,-1.019522,0.008362,0.008952,-0.041893,0.896094,-0.441793,0.001966,-0.905259,0.010624,0.005214,0.002643,0.755481,-0.655145,0.155648,-0.997617,0.928307
61,0.254167,-0.000077,0.018944,-0.800063,0.599616,0.312345,-1.019528,0.008356,0.008976,-0.041933,0.896097,-0.441782,0.001966,-0.905262,0.010627,0.005215,0.002581,0.755551,-0.655064,0.155636,-0.997567,0.928323
62,0.258333,-0.000218,0.019063,-0.800077,0.599594,0.312352,-1.019515,0.008367,0.008933,-0.041906,0.896083,-0.441814,0.001969,-0.905259,0.010630,0.005157,0.002547,0.755627,-0.654977,0.155616,-0.997513,0.928340
63,0.262500,-0.000383,0.019161,-0.800083,0.599583,0.312368,-1.019524,0.008362,0.008938,-0.041873,0.896099,-0.441784,0.001968,-0.905264,0.010627,0.005133,0.002519,0.755688,-0.654907,0.155593,-0.997460,0.928354
64,0.266667,-0.000534,0.019239,-0.800074,0.599593,0.312383,-1.019529,0.008355,0.008973,-0.041931,0.896089,-0.441798,0.001966,-0.905266,0.010624,0.005114,0.002498,0.755765,-0.654818,0.155574,-0.997402,0.928370
65,0.270833,-0.000775,0.019523,-0.800099,0.599549,0.312403,-1.019523,0.008369,0.008932,-0.041885,0.896093,-0.441795,0.001965,-0.905265,0.010630,0.005114,0.002489,0.755833,-0.654739,0.155549,-0.997348,0.928382
66,0.275000,-0.000950,0.019504,-0.800110,0.599536,0.312424,-1.019538,0.008348,0.008949,-0.041874,0.896097,-0.441789,0.001964,-0.905263,0.010630,0.005101,0.002457,0.755910,-0.654651,0.155526,-0.997298,0.928398
67,0.279167,-0.001101,0.019728,-0.800120,0.599514,0.312437,-1.019534,0.008361,0.008893,-0.041838,0.896087,-0.441812,0.001965,-0.905264,0.010636,0.005081,0.002454,0.755983,-0.654567,0.155499,-0.997234,0.928417
68,0.283333,-0.001354,0.019945,-0.800135,0.599487,0.312467,-1.019545,0.008358,0.008922,-0.041825,0.896105,-0.441778,0.001962,-0.905265,0.010631,0.005041,0.002436,0.756059,-0.654480,0.155465,-0.997170,0.928434
69,0.287500,-0.001564,0.020189,-0.800145,0.599465,0.312496,-1.019546,0.008361,0.008879,-0.041824,0.896093,-0.441802,0.001961,-0.905266,0.010634,0.005051,0.002404,0.756141,-0.654384,0.155435,-0.997107,0.928450
70,0.291667,-0.001911,0.020479,-0.800176,0.599413,0.312512,-1.019554,0.008354,0.008911,-0.041803,0.896097,-0.441796,0.001958,-0.905269,0.010639,0.005048,0.002421,0.756221,-0.654292,0.155393,-0.997039,0.928468
