Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
0,0.000000,0.022452,0.022558,-0.895379,0.444165,-1.036464,-1.559062,-0.014662,-0.003628,0.054767,-0.937359,0.344014,-1.300908,-1.349052,-0.006704,-0.024840,0.016610,0.656442,-0.753785,-1.468108,-1.318658,0.886642
1,0.004167,0.022454,0.022613,-0.895374,0.444174,-1.036463,-1.559061,-0.014677,-0.003702,0.054909,-0.937358,0.343993,-1.300910,-1.349063,-0.006710,-0.024840,0.016610,0.656442,-0.753785,-1.468108,-1.318658,0.886642
2,0.008333,0.022505,0.022518,-0.895332,0.444261,-1.036443,-1.559073,-0.014674,-0.003703,0.054926,-0.937370,0.343959,-1.300903,-1.349058,-0.006702,-0.024840,0.016610,0.656442,-0.753785,-1.468108,-1.318658,0.886642
3,0.012500,0.022388,0.022511,-0.895342,0.444246,-1.036460,-1.559070,-0.014668,-0.003679,0.054960,-0.937354,0.343997,-1.300904,-1.349060,-0.006708,-0.024840,0.016610,0.656442,-0.753785,-1.468108,-1.318658,0.886642
4,0.016667,0.022346,0.022536,-0.895382,0.444167,-1.036487,-1.559063,-0.014669,-0.003725,0.054844,-0.937337,0.344062,-1.300907,-1.349071,-0.006696,-0.024840,0.016610,0.656442,-0.753785,-1.468108,-1.318658,0.886642
5,0.020833,0.022354,0.022605,-0.895342,0.444243,-1.036453,-1.559073,-0.014661,-0.003622,0.054865,-0.937354,0.344012,-1.300894,-1.349058,-0.006699,-0.024840,0.016610,0.656442,-0.753785,-1.468108,-1.318658,0.886642
6,0.025000,0.022380,0.022534,-0.895352,0.444225,-1.036451,-1.559081,-0.014666,-0.003686,0.054847,-0.937355,0.344011,-1.300900,-1.349064,-0.006696,-0.024840,0.016610,0.656442,-0.753785,-1.468108,-1.318658,0.886642
7,0.029167,0.022270,0.022612,-0.895332,0.444268,-1.036436,-1.559073,-0.014648,-0.003702,0.054797,-0.937344,0.344049,-1.300896,-1.349063,-0.006696,-0.024840,0.016610,0.656442,-0.753785,-1.468108,-1.318658,0.886642
8,0.033333,0.022142,0.022699,-0.895323,0.444288,-1.036437,-1.559080,-0.014629,-0.003692,0.054857,-0.937345,0.344038,-1.300888,-1.349060,-0.006692,-0.024840,0.016610,0.656442,-0.753785,-1.468108,-1.318658,0.886642
9,0.037500,0.022144,0.022759,-0.895281,0.444369,-1.036404,-1.559090,-0.014636,-0.003697,0.054840,-0.937339,0.344055,-1.300888,-1.349068,-0.006696,-0.024840,0.016610,0.656442,-0.753785,-1.468108,-1.318658,0.886642
10,0.041667,0.022096,0.022743,-0.895299,0.444335,-1.036403,-1.559092,-0.014636,-0.003655,0.054897,-0.937327,0.344081,-1.300885,-1.349068,-0.006697,-0.024840,0.016610,0.656442,-0.753785,-1.468108,-1.318658,0.886642
11,0.045833,0.022032,0.022755,-0.895320,0.444297,-1.036418,-1.559097,-0.014633,-0.003687,0.054862,-0.937348,0.344028,-1.300884,-1.349066,-0.006688,-0.024840,0.016610,0.656442,-0.753785,-1.468108,-1.318658,0.886642
12,0.050000,0.021926,0.022794,-0.895299,0.444342,-1.036426,-1.559091,-0.014631,-0.003660,0.054841,-0.937331,0.344077,-1.300879,-1.349070,-0.006691,-0.024840,0.016610,0.656442,-0.753785,-1.468108,-1.318658,0.886642
13,0.054167,0.022075,0.022705,-0.895284,0.444370,-1.036399,-1.559095,-0.014629,-0.003679,0.054936,-0.937350,0.344012,-1.300879,-1.349066,-0.006685,-0.024840,0.016610,0.656442,-0.753785,-1.468108,-1.318658,0.886642
14,0.058333,0.021913,0.022805,-0.895330,0.444280,-1.036422,-1.559094,-0.014628,-0.003760,0.054994,-0.937336,0.344039,-1.300888,-1.349059,-0.006685,-0.024840,0.016610,0.656442,-0.753785,-1.468108,-1.318658,0.886642
15,0.062500,0.022011,0.022767,-0.895341,0.444255,-1.036430,-1.559101,-0.014640,-0.003748,0.055000,-0.937325,0.344067,-1.300877,-1.349057,-0.006686,-0.024840,0.016610,0.656442,-0.753785,-1.468108,-1.318658,0.886642
16,0.066667,0.022091,0.022770,-0.895368,0.444196,-1.036442,-1.559090,-0.014644,-0.003691,0.054904,-0.937333,0.344061,-1.300879,-1.349054,-0.006686,-0.024840,0.016610,0.656442,-0.753785,-1.468108,-1.318658,0.886642
17,0.070833,0.022084,0.022753,-0.895387,0.444158,-1.036450,-1.559076,-0.014652,-0.003777,0.054939,-0.937348,0.344014,-1.300886,-1.349061,-0.006690,-0.024840,0.016610,0.656442,-0.753785,-1.468108,-1.318658,0.886642
18,0.075000,0.022215,0.022598,-0.895340,0.444254,-1.036434,-1.559082,-0.014662,-0.003787,0.054971,-0.937309,0.344115,-1.300886,-1.349072,-0.006696,-0.024840,0.016610,0.656442,-0.753785,-1.468108,-1.318658,0.886642
19,0.079167,0.022092,0.022747,-0.895392,0.444149,-1.036454,-1.559089,-0.014662,-0.003682,0.054940,-0.937317,0.344099,-1.300885,-1.349059,-0.006692,-0.024840,0.016610,0.656442,-0.753785,-1.468108,-1.318658,0.886642
20,0.083333,0.022195,0.022687,-0.895362,0.444207,-1.036434,-1.559086,-0.014663,-0.003753,0.054968,-0.937342,0.344026,-1.300884,-1.349068,-0.006692,-0.024840,0.016610,0.656442,-0.753785,-1.468108,-1.318658,0.886642
21,0.087500,0.022117,0.022722,-0.895367,0.444199,-1.036430,-1.559090,-0.014666,-0.003849,0.054995,-0.937314,0.344097,-1.300898,-1.349065,-0.006703,-0.024840,0.016610,0.656442,-0.753785,-1.468108,-1.318658,0.886642
22,0.091667,0.022100,0.022734,-0.895340,0.444253,-1.036428,-1.559095,-0.014656,-0.003725,0.054932,-0.937344,0.344027,-1.300894,-1.349056,-0.006699,-0.024840,0.016610,0.656442,-0.753785,-1.468108,-1.318658,0.886642
23,0.095833,0.022100,0.022715,-0.895357,0.444220,-1.036433,-1.559095,-0.014665,-0.003740,0.054969,-0.937316,0.344097,-1.300896,-1.349062,-0.006716,-0.024840,0.016610,0.656442,-0.753785,-1.468108,-1.318658,0.886642
