Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
0,0.000000,-0.020470,0.042782,-0.883097,0.466787,1.800531,0.935182,0.049790,-0.008116,0.039053,-0.931562,0.361388,1.561834,1.106211,0.056513,0.002483,-0.025863,0.881404,-0.471647,1.663941,0.996281,0.977719
1,0.004167,-0.020277,0.042688,-0.883108,0.466783,1.800522,0.935159,0.049812,-0.008082,0.038941,-0.931564,0.361394,1.561832,1.106211,0.056519,0.003334,-0.026441,0.881694,-0.471069,1.663577,0.996222,0.977610
2,0.008333,-0.020319,0.042855,-0.883068,0.466842,1.800516,0.935146,0.049818,-0.008049,0.038821,-0.931582,0.361362,1.561825,1.106211,0.056526,0.003290,-0.026509,0.881760,-0.470941,1.663150,0.996255,0.977595
3,0.012500,-0.020207,0.042842,-0.883056,0.466871,1.800522,0.935135,0.049818,-0.008034,0.038814,-0.931570,0.361394,1.561814,1.106219,0.056531,0.003188,-0.026453,0.881786,-0.470897,1.662728,0.996327,0.977587
4,0.016667,-0.020360,0.042987,-0.883068,0.466827,1.800541,0.935125,0.049814,-0.008060,0.038833,-0.931575,0.361380,1.561816,1.106217,0.056534,0.003257,-0.026438,0.881899,-0.470686,1.662274,0.996388,0.977569
5,0.020833,-0.020463,0.042960,-0.883143,0.466685,1.800557,0.935111,0.049817,-0.007973,0.038773,-0.931596,0.361334,1.561804,1.106225,0.056538,0.003404,-0.026486,0.882030,-0.470437,1.661802,0.996462,0.977560
6,0.025000,-0.020596,0.043316,-0.882987,0.466940,1.800554,0.935111,0.049817,-0.007937,0.038665,-0.931600,0.361336,1.561797,1.106229,0.056540,0.003522,-0.026521,0.882211,-0.470094,1.661310,0.996532,0.977552
7,0.029167,-0.020242,0.042919,-0.882998,0.466971,1.800602,0.935039,0.049777,-0.007968,0.038656,-0.931594,0.361351,1.561797,1.106228,0.056542,0.003796,-0.026379,0.882367,-0.469806,1.660792,0.996610,0.977518
8,0.033333,-0.020304,0.042981,-0.883000,0.466959,1.800614,0.935026,0.049756,-0.007958,0.038599,-0.931596,0.361353,1.561792,1.106227,0.056547,0.004030,-0.026396,0.882467,-0.469616,1.660282,0.996681,0.977479
9,0.037500,-0.020633,0.043316,-0.882992,0.466929,1.800585,0.935032,0.049776,-0.007968,0.038565,-0.931584,0.361386,1.561791,1.106237,0.056547,0.004223,-0.026289,0.882591,-0.469387,1.659788,0.996754,0.977436
10,0.041667,-0.020967,0.043663,-0.883004,0.466860,1.800562,0.935069,0.049789,-0.007945,0.038535,-0.931590,0.361374,1.561792,1.106245,0.056553,0.004512,-0.026211,0.882771,-0.469050,1.659273,0.996824,0.977392
11,0.045833,-0.020979,0.043752,-0.882942,0.466968,1.800611,0.935027,0.049743,-0.007974,0.038523,-0.931581,0.361398,1.561800,1.106251,0.056554,0.004746,-0.026125,0.882883,-0.468842,1.658755,0.996917,0.977353
