time_s,mocap_hz,classifier_hz,pd_ctrl_hz
1.013,239.59,10.95,141.13
2.011,240.04,15.25,374.51
3.012,239.89,17.16,361.42
4.011,239.97,17.9,366.41
5.01,240.17,18.35,357.32
6.01,239.3,18.93,364.94
7.012,239.48,19.84,349.44
8.012,239.65,19.85,359.33
9.011,240.32,19.86,374.4
10.011,240.21,19.86,349.5
11.011,239.75,19.87,346.54
12.011,240.24,19.87,358.54
13.011,240.0,19.82,345.97
14.01,239.98,19.88,366.27
15.011,240.05,19.86,358.65
16.01,240.16,19.87,370.98
17.012,240.17,19.87,355.83
18.011,240.29,19.88,372.51
19.011,240.51,19.82,360.12
20.011,240.45,19.83,370.97
21.012,239.29,19.81,343.72
22.011,239.98,19.83,372.22
23.011,239.93,19.81,349.92
24.01,240.16,19.81,355.61
25.01,240.07,19.81,346.46
26.013,239.69,19.83,354.98
27.012,240.56,19.82,343.64
28.01,240.18,19.79,335.55
29.011,239.71,19.78,352.09
30.012,239.77,19.82,331.73
31.011,239.69,19.77,351.91
32.01,239.53,19.77,352.82
33.011,239.39,19.8,358.02
34.01,239.93,19.85,350.69
35.011,239.18,19.81,362.4
36.011,240.21,19.83,360.04
37.011,239.53,19.82,370.44
38.011,240.25,19.86,350.75
39.011,240.23,19.89,339.76
40.012,239.73,19.89,349.39
41.011,239.92,19.88,362.22
42.011,239.64,19.9,363.21
43.011,239.81,19.83,346.39
44.012,240.26,19.82,355.04
45.011,239.85,19.82,320.05
46.011,240.17,19.84,358.42
47.01,239.94,19.91,388.14
