time_s,frame,position_error_m,x_error_m,y_error_m,velocity_error_ms,heading_error_deg,gait
0.5592,1,0.0009,0.0004,-0.0008,0.2186,1.568,walk
0.5604,2,0.0009,0.0004,-0.0008,0.2186,1.568,walk
0.5627,3,0.0017,0.0007,-0.0015,0.1875,1.6,walk
0.5636,4,0.0017,0.0007,-0.0015,0.1875,1.6,walk
0.5643,5,0.0017,0.0007,-0.0015,0.1875,1.6,walk
0.5654,6,0.0026,0.0012,-0.0024,0.2264,1.67,walk
0.567,7,0.0026,0.0012,-0.0024,0.2264,1.67,walk
0.5677,8,0.0026,0.0011,-0.0024,0.2264,1.67,walk
0.5684,9,0.0026,0.0011,-0.0024,0.2264,1.67,walk
0.5694,10,0.0036,0.0016,-0.0032,0.2282,1.723,walk
0.5711,11,0.0036,0.0016,-0.0032,0.2282,1.723,walk
0.5717,12,0.0036,0.0016,-0.0032,0.2282,1.723,walk
0.5724,13,0.0036,0.0016,-0.0032,0.2282,1.723,walk
0.5735,14,0.0044,0.002,-0.0039,0.1916,1.735,walk
0.5751,15,0.0044,0.002,-0.0039,0.1916,1.735,walk
0.5758,16,0.0044,0.002,-0.0039,0.1916,1.734,walk
0.5766,17,0.0044,0.002,-0.0039,0.1916,1.734,walk
0.5778,18,0.0052,0.0024,-0.0046,0.1866,1.756,walk
0.5797,19,0.0052,0.0024,-0.0046,0.1866,1.756,walk
0.5806,20,0.0052,0.0024,-0.0046,0.1866,1.756,walk
0.5831,21,0.006,0.0029,-0.0053,0.2144,1.804,walk
0.5841,22,0.006,0.0029,-0.0053,0.2144,1.804,walk
0.585,23,0.006,0.0029,-0.0053,0.2144,1.804,walk
0.5861,24,0.0071,0.0036,-0.0061,0.2523,1.903,walk
0.5878,25,0.0071,0.0036,-0.0061,0.2523,1.903,walk
0.5885,26,0.007,0.0035,-0.0061,0.2523,1.903,walk
0.5892,27,0.007,0.0035,-0.0061,0.2523,1.903,walk
0.5902,28,0.0079,0.0041,-0.0068,0.2137,1.94,walk
0.592,29,0.0079,0.0041,-0.0068,0.2137,1.94,walk
0.5926,30,0.0079,0.0041,-0.0068,0.2137,1.94,walk
0.5933,31,0.0079,0.0041,-0.0068,0.2137,1.94,walk
0.5943,32,0.0088,0.0046,-0.0075,0.2043,1.958,walk
0.596,33,0.0088,0.0046,-0.0075,0.2043,1.958,walk
0.5967,34,0.0088,0.0046,-0.0075,0.2043,1.958,walk
0.5974,35,0.0088,0.0046,-0.0075,0.2043,1.958,walk
0.5981,36,0.0088,0.0046,-0.0075,0.2043,1.958,walk
0.5991,37,0.0097,0.0051,-0.0082,0.2167,1.978,walk
0.6009,38,0.0097,0.0051,-0.0082,0.2167,1.978,walk
0.6016,39,0.0097,0.0051,-0.0082,0.2167,1.978,walk
0.6022,40,0.0097,0.0051,-0.0082,0.2167,1.978,walk
0.6042,41,0.0105,0.0057,-0.0088,0.2066,1.969,walk
0.6049,42,0.0105,0.0057,-0.0088,0.2066,1.969,walk
0.6055,43,0.0105,0.0057,-0.0088,0.2066,1.968,walk
0.6062,44,0.0105,0.0057,-0.0088,0.2066,1.968,walk
0.6083,45,0.0114,0.0063,-0.0095,0.2261,1.996,walk
0.6092,46,0.0114,0.0063,-0.0095,0.2261,1.996,walk
0.6101,47,0.0114,0.0063,-0.0095,0.2261,1.996,walk
0.6124,48,0.0119,0.0067,-0.0098,0.1149,1.842,walk
0.6132,49,0.0119,0.0067,-0.0098,0.1149,1.842,walk
0.6138,50,0.0119,0.0067,-0.0098,0.1149,1.841,walk
0.6145,51,0.0119,0.0067,-0.0098,0.1149,1.841,walk
0.6165,52,0.0127,0.0072,-0.0105,0.2107,1.813,walk
0.6172,53,0.0127,0.0072,-0.0105,0.2107,1.813,walk
0.6178,54,0.0127,0.0072,-0.0105,0.2107,1.813,walk
0.6185,55,0.0127,0.0072,-0.0105,0.2107,1.813,walk
0.6195,56,0.0136,0.0079,-0.0111,0.2245,1.8,walk
0.6211,57,0.0136,0.0079,-0.0111,0.2245,1.799,walk
0.6218,58,0.0136,0.0079,-0.0111,0.2245,1.799,walk
0.6225,59,0.0136,0.0079,-0.0111,0.2245,1.799,walk
0.6235,60,0.0145,0.0085,-0.0117,0.2113,1.768,walk
0.6251,61,0.0145,0.0085,-0.0117,0.2113,1.768,walk
0.6257,62,0.0145,0.0085,-0.0117,0.2113,1.768,walk
0.6264,63,0.0145,0.0085,-0.0117,0.2113,1.768,walk
0.6271,64,0.0145,0.0085,-0.0117,0.2113,1.768,walk
0.628,65,0.0153,0.0091,-0.0123,0.2092,1.751,walk
0.6295,66,0.0153,0.0091,-0.0123,0.2092,1.751,walk
0.6302,67,0.0153,0.0091,-0.0123,0.2092,1.75,walk
0.6308,68,0.0153,0.0091,-0.0123,0.2092,1.75,walk
0.6318,69,0.0162,0.0099,-0.0129,0.2313,1.725,walk
0.6339,70,0.0162,0.0099,-0.0129,0.2313,1.725,walk
0.6345,71,0.0162,0.0099,-0.0129,0.2313,1.724,walk
0.6354,72,0.0162,0.0099,-0.0129,0.2313,1.724,walk
0.6364,73,0.017,0.0105,-0.0134,0.2101,1.682,walk
0.6379,74,0.017,0.0105,-0.0134,0.2101,1.682,walk
0.6387,75,0.017,0.0105,-0.0134,0.2101,1.682,walk
0.6394,76,0.017,0.0105,-0.0134,0.2101,1.682,walk
0.6412,77,0.018,0.0113,-0.014,0.2339,1.677,walk
0.6419,78,0.018,0.0113,-0.014,0.2339,1.676,walk
0.6426,79,0.018,0.0113,-0.014,0.2339,1.676,walk
0.6433,80,0.018,0.0113,-0.014,0.2339,1.676,walk
0.6442,81,0.0188,0.0121,-0.0145,0.23,1.642,walk
0.6458,82,0.0188,0.0121,-0.0145,0.23,1.642,walk
0.6466,83,0.0188,0.0121,-0.0145,0.23,1.642,walk
0.6474,84,0.0188,0.0121,-0.0145,0.23,1.642,walk
0.6484,85,0.0197,0.0128,-0.015,0.2154,1.585,walk
0.6501,86,0.0197,0.0128,-0.015,0.2154,1.585,walk
0.6508,87,0.0197,0.0128,-0.015,0.2154,1.585,walk
0.6516,88,0.0197,0.0128,-0.015,0.2154,1.585,walk
0.6536,89,0.0206,0.0136,-0.0154,0.2357,1.557,walk
0.6543,90,0.0206,0.0136,-0.0154,0.2357,1.557,walk
0.6551,91,0.0206,0.0136,-0.0154,0.2357,1.557,walk
0.6558,92,0.0206,0.0136,-0.0154,0.2357,1.556,walk
0.6568,93,0.0221,0.0149,-0.0163,0.3815,1.479,walk
0.6587,94,0.0221,0.0149,-0.0163,0.3815,1.478,walk
0.6596,95,0.0221,0.0149,-0.0163,0.3815,1.478,walk
0.6608,96,0.0228,0.0156,-0.0167,0.1905,1.364,walk
0.6628,97,0.0228,0.0156,-0.0167,0.1905,1.364,walk
0.6636,98,0.0228,0.0156,-0.0167,0.1905,1.364,walk
0.6643,99,0.0228,0.0156,-0.0167,0.1905,1.364,walk
0.6653,100,0.0239,0.0166,-0.0172,0.2749,1.404,walk
0.6669,101,0.0239,0.0166,-0.0172,0.2749,1.403,walk
0.6676,102,0.0239,0.0166,-0.0172,0.2749,1.403,walk
0.6682,103,0.0239,0.0166,-0.0172,0.2749,1.403,walk
0.6692,104,0.0247,0.0174,-0.0175,0.214,1.329,walk
0.6709,105,0.0247,0.0174,-0.0175,0.214,1.329,walk
0.6716,106,0.0247,0.0174,-0.0175,0.214,1.328,walk
0.6723,107,0.0247,0.0174,-0.0175,0.214,1.328,walk
0.673,108,0.0247,0.0174,-0.0175,0.214,1.328,walk
0.6748,109,0.0254,0.0181,-0.0179,0.1945,1.21,walk
0.6756,110,0.0254,0.0181,-0.0179,0.1945,1.21,walk
0.6762,111,0.0254,0.0181,-0.0179,0.1945,1.21,walk
0.677,112,0.0254,0.0181,-0.0179,0.1945,1.21,walk
0.679,113,0.0264,0.0191,-0.0182,0.2562,1.147,walk
0.6797,114,0.0264,0.0191,-0.0182,0.2562,1.146,walk
0.6804,115,0.0264,0.0191,-0.0182,0.2562,1.146,walk
0.6818,116,0.0274,0.02,-0.0186,0.2501,1.2,walk
0.6839,117,0.0274,0.02,-0.0186,0.2501,1.199,walk
