time_s,frame,position_error_m,x_error_m,y_error_m,velocity_error_ms,heading_error_deg,joint_track_20cm_10deg,gait
0.4736,1,0.0,0.0,-0.0,0.0118,0.005,1,stand
0.4751,2,0.0,0.0,-0.0,0.0118,0.004,1,stand
0.4771,3,0.0,0.0,-0.0,0.0118,0.004,1,stand
0.4792,4,0.0001,0.0,-0.0001,0.0114,0.005,1,stand
0.4812,5,0.0001,0.0,-0.0001,0.0114,0.005,1,stand
0.4834,6,0.0001,0.0,-0.0001,0.0108,0.008,1,stand
0.4853,7,0.0001,0.0,-0.0001,0.0108,0.007,1,stand
0.4874,8,0.0001,-0.0,-0.0001,0.0132,0.006,1,stand
0.4895,9,0.0001,-0.0,-0.0001,0.0132,0.006,1,stand
0.4915,10,0.0001,-0.0,-0.0001,0.0127,0.008,1,stand
0.4936,11,0.0001,-0.0,-0.0001,0.0127,0.007,1,stand
0.4956,12,0.0001,-0.0,-0.0001,0.0094,0.012,1,stand
0.4977,13,0.0001,-0.0,-0.0001,0.0094,0.011,1,stand
0.4998,14,0.0002,-0.0,-0.0002,0.0158,0.01,1,stand
0.5018,15,0.0002,-0.0001,-0.0001,0.0158,0.01,1,stand
0.5039,16,0.0002,-0.0001,-0.0002,0.0104,0.013,1,stand
0.5059,17,0.0002,-0.0001,-0.0002,0.0104,0.013,1,stand
0.5081,18,0.0002,-0.0001,-0.0002,0.0127,0.021,1,stand
0.5101,19,0.0002,-0.0001,-0.0002,0.0127,0.021,1,stand
0.5123,20,0.0002,-0.0001,-0.0002,0.0085,0.02,1,stand
0.5143,21,0.0002,-0.0001,-0.0001,0.0085,0.02,1,stand
0.5165,22,0.0002,-0.0001,-0.0002,0.0123,0.029,1,stand
0.5185,23,0.0002,-0.0001,-0.0001,0.0123,0.028,1,stand
0.5207,24,0.0002,-0.0001,-0.0002,0.0115,0.035,1,stand
0.5227,25,0.0002,-0.0001,-0.0001,0.0115,0.035,1,stand
0.5249,26,0.0003,-0.0001,-0.0002,0.0273,0.022,1,stand
0.5269,27,0.0003,-0.0001,-0.0002,0.0273,0.022,1,stand
0.5292,28,0.0003,-0.0001,-0.0002,0.0113,0.024,1,stand
0.5313,29,0.0003,-0.0002,-0.0002,0.0113,0.024,1,stand
0.5335,30,0.0003,-0.0002,-0.0002,0.0121,0.026,1,stand
0.5355,31,0.0003,-0.0002,-0.0002,0.0121,0.026,1,stand
0.5377,32,0.0003,-0.0002,-0.0002,0.0126,0.034,1,stand
0.5401,33,0.0003,-0.0002,-0.0002,0.0097,0.036,1,stand
0.5419,34,0.0002,-0.0002,-0.0002,0.0097,0.036,1,stand
0.544,35,0.0002,-0.0002,-0.0002,0.0097,0.035,1,stand
0.5461,36,0.0003,-0.0002,-0.0002,0.0126,0.03,1,stand
0.5482,37,0.0003,-0.0002,-0.0002,0.0126,0.03,1,stand
0.5503,38,0.0002,-0.0001,-0.0002,0.0215,0.02,1,stand
0.5523,39,0.0002,-0.0001,-0.0002,0.0215,0.02,1,stand
0.5544,40,0.0002,-0.0001,-0.0002,0.0112,0.028,1,stand
0.5568,41,0.0002,-0.0001,-0.0002,0.0137,0.023,1,stand
0.5585,42,0.0002,-0.0002,-0.0002,0.0137,0.023,1,stand
0.5609,43,0.0002,-0.0001,-0.0002,0.0107,0.025,1,stand
0.5626,44,0.0002,-0.0001,-0.0002,0.0107,0.025,1,stand
0.5647,45,0.0002,-0.0001,-0.0002,0.0107,0.025,1,stand
0.5668,46,0.0002,-0.0001,-0.0002,0.0091,0.033,1,stand
0.5688,47,0.0002,-0.0001,-0.0001,0.0091,0.033,1,stand
0.5709,48,0.0002,-0.0001,-0.0002,0.0116,0.033,1,stand
0.5729,49,0.0002,-0.0001,-0.0002,0.0116,0.033,1,stand
0.575,50,0.0002,-0.0001,-0.0002,0.0108,0.035,1,stand
0.577,51,0.0002,-0.0001,-0.0002,0.0108,0.035,1,stand
0.5791,52,0.0002,-0.0001,-0.0002,0.0094,0.039,1,stand
0.5812,53,0.0002,-0.0001,-0.0002,0.0094,0.04,1,stand
0.5832,54,0.0002,-0.0001,-0.0002,0.009,0.049,1,stand
0.5853,55,0.0002,-0.0001,-0.0002,0.009,0.051,1,stand
0.5873,56,0.0002,-0.0001,-0.0002,0.0115,0.052,1,stand
0.5894,57,0.0002,-0.0001,-0.0002,0.0115,0.053,1,stand
0.5915,58,0.0003,-0.0,-0.0003,0.0108,0.066,1,stand
0.5935,59,0.0006,0.0001,-0.0006,0.0108,0.068,1,stand
0.5958,60,0.0009,0.0002,-0.0009,0.0113,0.067,1,stand
0.5978,61,0.0012,0.0003,-0.0011,0.0113,0.062,1,stand
0.6001,62,0.0014,0.0005,-0.0013,0.0112,0.062,1,stand
0.6022,63,0.0016,0.0005,-0.0015,0.0112,0.055,1,stand
0.605,64,0.0018,0.0006,-0.0017,0.0139,0.048,1,stand
0.6082,65,0.0019,0.0006,-0.0018,0.0084,0.033,1,stand
0.6091,66,0.002,0.0007,-0.0019,0.0084,0.024,1,stand
0.6112,67,0.0021,0.0007,-0.002,0.0126,0.015,1,stand
0.6132,68,0.0021,0.0007,-0.002,0.0126,0.007,1,stand
0.6153,69,0.0021,0.0007,-0.002,0.0115,0.005,1,stand
0.6173,70,0.0021,0.0007,-0.002,0.0115,0.003,1,stand
0.6194,71,0.0021,0.0007,-0.002,0.0089,0.001,1,stand
0.6216,72,0.0021,0.0007,-0.002,0.0089,0.01,1,stand
0.6248,73,0.0021,0.0007,-0.002,0.0129,0.011,1,stand
0.6268,74,0.0021,0.0007,-0.002,0.0129,0.018,1,stand
0.629,75,0.0021,0.0007,-0.002,0.0099,0.015,1,stand
0.631,76,0.0021,0.0007,-0.002,0.0099,0.018,1,stand
0.6333,77,0.0021,0.0007,-0.002,0.0134,0.008,1,stand
0.6353,78,0.0021,0.0007,-0.002,0.0134,0.008,1,stand
0.6376,79,0.0021,0.0007,-0.002,0.0094,0.012,1,stand
0.6396,80,0.0021,0.0007,-0.0019,0.0094,0.011,1,stand
0.6418,81,0.0021,0.0007,-0.002,0.0133,0.004,1,stand
0.6438,82,0.0021,0.0007,-0.002,0.0133,0.003,1,stand
0.646,83,0.0021,0.0007,-0.002,0.013,0.003,1,stand
0.648,84,0.0021,0.0007,-0.002,0.013,0.002,1,stand
0.6502,85,0.0022,0.0007,-0.002,0.0123,0.007,1,stand
0.6522,86,0.0022,0.0007,-0.0021,0.0123,0.007,1,stand
0.6543,87,0.0023,0.0007,-0.0021,0.0125,0.005,1,stand
0.6564,88,0.0023,0.0007,-0.0022,0.0125,0.005,1,stand
0.6585,89,0.0024,0.0008,-0.0023,0.0177,0.01,1,stand
0.6605,90,0.0024,0.0008,-0.0023,0.0177,0.011,1,stand
0.6627,91,0.0025,0.0008,-0.0024,0.0149,0.011,1,stand
0.6647,92,0.0025,0.0008,-0.0024,0.0149,0.011,1,stand
0.6669,93,0.0026,0.0008,-0.0024,0.0161,0.015,1,stand
0.6689,94,0.0026,0.0008,-0.0024,0.0161,0.015,1,stand
0.671,95,0.0027,0.0009,-0.0025,0.0176,0.015,1,stand
0.6731,96,0.0027,0.0009,-0.0025,0.0176,0.015,1,stand
0.6753,97,0.0027,0.0009,-0.0026,0.0186,0.023,1,stand
0.6777,98,0.0028,0.0009,-0.0027,0.0198,0.021,1,stand
0.6794,99,0.0028,0.0009,-0.0027,0.0198,0.021,1,stand
0.6815,100,0.0028,0.0009,-0.0027,0.0198,0.021,1,stand
0.6835,101,0.0029,0.001,-0.0028,0.0169,0.024,1,stand
0.6859,102,0.003,0.001,-0.0029,0.0209,0.032,1,stand
0.6877,103,0.003,0.001,-0.0029,0.0209,0.031,1,stand
